Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Vassell,35:15,9,17,.529,1,6,.167,4,5,.800,1,4,5,3,2,0,2,2,23,+4,35:15,.599,.559,.353,.294,3.1,11.1,7.3,12.1,2.6,0.0,9.4,24.5,114,119,-0.8
Zach Collins,31:55,6,10,.600,0,4,.000,2,2,1.000,1,4,5,3,1,2,3,4,14,-4,31:55,.643,.600,.400,.200,3.4,12.3,8.1,12.2,1.4,5.8,21.6,17.7,107,117,-2.4
Keldon Johnson,31:44,7,15,.467,1,3,.333,2,3,.667,2,7,9,7,0,0,3,4,17,0,31:44,.521,.500,.200,.200,6.9,21.6,14.6,29.9,0.0,0.0,15.5,24.8,106,121,-3.0
Jeremy Sochan,28:41,4,12,.333,2,4,.500,3,6,.500,3,5,8,5,1,0,3,4,13,-10,28:41,.444,.417,.333,.500,11.4,17.1,14.4,21.3,1.6,0.0,17.0,25.1,95,119,-5.4
Victor Wembanyama,23:19,6,9,.667,3,5,.600,0,1,.000,0,5,5,2,2,1,5,5,15,0,23:19,.794,.833,.556,.111,0.0,21.0,11.1,12.2,3.9,4.0,34.6,25.3,87,110,0.2
Tre Jones,25:06,5,7,.714,2,3,.667,4,4,1.000,1,4,5,6,0,0,1,0,16,+1,25:06,.913,.857,.429,.571,4.3,15.6,10.3,31.5,0.0,0.0,10.2,15.9,173,123,9.6
Cedi Osman,22:16,5,10,.500,2,6,.333,0,0,,0,0,0,2,0,1,0,2,12,-11,22:16,.600,.600,.600,.000,0.0,0.0,0.0,12.2,0.0,4.1,0.0,18.3,122,125,-0.2
Malaki Branham,17:45,3,7,.429,0,3,.000,1,1,1.000,0,2,2,2,1,0,1,1,7,-2,17:45,.470,.429,.429,.143,0.0,11.0,5.8,14.3,2.5,0.0,11.8,19.4,93,119,-5.9
Charles Bassey,13:03,1,1,1.000,0,0,,0,0,,1,4,5,2,1,0,1,0,2,-6,13:03,1.000,1.000,.000,.000,8.4,30.0,19.8,17.4,3.5,0.0,50.0,6.3,129,111,4.5
Doug McDermott,10:56,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,-7,10:56,.000,.000,1.000,.000,0.0,9.0,4.7,9.5,0.0,8.4,0.0,3.7,58,120,-6.0
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Julian Champagnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Devonte' Graham,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,89,.517,11,35,.314,16,22,.727,9,36,45,33,8,5,19,23,119,,240,.603,.579,.393,.247,20.5,73.5,48.4,71.7,7.5,9.6,16.1,100.0,111.8,118.4,
