Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cade Cunningham,35:46,13,27,.481,4,9,.444,0,0,,0,3,3,9,1,1,3,5,30,-2,35:46,.556,.556,.333,.000,0.0,7.3,3.9,51.3,1.4,1.9,10.0,35.1,116,113,8.2
Isaiah Stewart,34:37,6,11,.545,2,3,.667,0,0,,6,8,14,2,0,0,1,3,14,+7,34:37,.636,.636,.273,.000,17.0,20.2,18.7,8.5,0.0,0.0,8.3,14.5,136,111,1.5
Jalen Duren,31:49,8,11,.727,0,0,,1,3,.333,6,8,14,4,0,4,4,4,17,-4,31:49,.690,.727,.000,.273,18.5,21.9,20.3,20.9,0.0,8.6,24.5,21.5,115,104,5.6
Killian Hayes,30:30,4,12,.333,0,6,.000,2,3,.667,0,1,1,3,2,1,1,2,10,+1,30:30,.375,.333,.500,.250,0.0,2.9,1.5,13.6,3.4,2.2,7.0,19.7,90,111,-5.3
Ausar Thompson,26:53,1,7,.143,1,2,.500,1,2,.500,3,4,7,3,0,5,2,2,4,-14,26:53,.254,.214,.286,.286,10.9,13.0,12.0,13.7,0.0,12.8,20.2,15.4,75,106,-2.0
Alec Burks,24:57,2,8,.250,2,5,.400,1,2,.500,0,5,5,0,0,1,0,1,7,+9,24:57,.394,.375,.625,.250,0.0,17.5,9.2,0.0,0.0,2.7,0.0,14.9,92,111,-6.8
Jaden Ivey,17:08,1,7,.143,0,2,.000,2,3,.667,0,2,2,3,0,0,3,3,4,-2,17:08,.240,.143,.286,.429,0.0,10.2,5.4,22.0,0.0,0.0,26.5,27.7,55,116,-22.6
Marvin Bagley III,16:11,3,3,1.000,0,0,,2,2,1.000,2,6,8,3,0,1,1,1,8,+3,16:11,1.031,1.000,.000,.667,12.1,32.4,22.8,27.7,0.0,4.2,20.5,12.6,172,102,14.7
Joe Harris,11:46,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-5,11:46,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0,121,-18.7
Marcus Sasser,10:23,3,4,.750,2,3,.667,0,0,,0,2,2,1,0,0,1,0,8,+2,10:23,1.000,1.000,.750,.000,0.0,16.8,8.9,17.0,0.0,0.0,20.0,20.2,138,113,12.2
Malcolm Cazalon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jared Rhoden,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Stanley Umude,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Wiseman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,92,.446,11,32,.344,9,15,.600,17,39,56,28,3,13,16,23,102,,240,.517,.505,.348,.163,34.7,70.9,53.8,68.3,3.2,18.6,14.0,100.0,108.9,110.0,
