Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,34:30,7,24,.292,2,7,.286,0,0,,0,2,2,3,3,0,2,1,16,+6,34:30,.333,.333,.292,.000,0.0,5.7,2.7,15.3,4.5,0.0,7.7,32.8,72,108,-8.1
Jimmy Butler,34:28,6,18,.333,0,0,,7,9,.778,8,5,13,4,2,0,0,0,19,-3,34:28,.433,.333,.000,.500,20.3,14.2,17.4,19.4,3.0,0.0,0.0,27.7,118,108,5.6
Bam Adebayo,32:09,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,-4,32:09,.632,.538,.000,.769,5.4,18.3,11.5,16.9,0.0,5.0,10.3,26.2,126,109,4.5
Kyle Lowry,31:52,0,1,.000,0,0,,0,0,,0,2,2,2,2,1,0,4,0,+4,31:52,.000,.000,.000,.000,0.0,6.1,2.9,8.1,3.2,2.5,0.0,1.4,82,109,-6.8
Kevin Love,27:44,4,9,.444,3,6,.500,2,2,1.000,2,8,10,2,0,0,1,5,13,+5,27:44,.658,.611,.667,.222,6.3,28.3,16.6,11.5,0.0,0.0,9.2,17.1,132,107,0.5
Duncan Robinson,22:06,6,10,.600,3,5,.600,0,0,,1,1,2,1,0,0,0,1,15,-3,22:06,.750,.750,.500,.000,3.9,4.4,4.2,9.1,0.0,0.0,0.0,19.7,151,118,7.1
Caleb Martin,19:30,1,7,.143,0,3,.000,0,0,,1,2,3,1,1,0,0,1,2,-5,19:30,.143,.143,.429,.000,4.5,10.0,7.1,7.1,2.6,0.0,0.0,15.6,51,110,-13.2
Thomas Bryant,15:50,2,5,.400,0,0,,4,5,.800,2,4,6,3,1,0,1,0,8,+5,15:50,.556,.400,.000,1.000,11.0,24.7,17.5,29.4,3.2,0.0,12.2,22.5,123,102,8.5
Jaime Jaquez Jr.,13:11,3,3,1.000,0,0,,0,0,,0,2,2,2,2,0,1,2,6,+4,13:11,1.000,1.000,.000,.000,0.0,14.9,7.0,27.9,7.8,0.0,25.0,13.2,142,96,10.3
Dru Smith,8:40,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-4,8:40,.500,.500,.500,.000,0.0,0.0,0.0,17.6,0.0,0.0,0.0,10.0,120,120,-7.6
Jamal Cain,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nikola Jović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Orlando Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,92,.402,8,22,.364,21,26,.808,16,32,48,22,11,3,7,18,103,,240,.498,.446,.239,.283,29.1,65.3,46.2,59.5,11.7,5.0,6.3,100.0,110.0,108.9,
