Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Harrison Barnes,33:26,11,16,.688,5,7,.714,6,6,1.000,0,4,4,2,1,0,1,2,33,+10,33:26,.885,.844,.438,.375,0.0,12.5,5.8,9.2,1.4,0.0,5.1,23.2,168,114,14.0
De'Aaron Fox,32:57,6,18,.333,1,7,.143,5,6,.833,2,3,5,6,1,1,3,4,18,+14,32:57,.436,.361,.389,.333,5.5,9.5,7.4,22.8,1.4,2.3,12.7,28.3,100,114,-5.9
Domantas Sabonis,32:08,8,14,.571,1,2,.500,5,7,.714,6,6,12,5,1,2,3,3,22,+5,32:08,.644,.607,.143,.500,16.9,19.5,18.1,21.3,1.5,4.7,14.9,24.6,131,109,7.3
Keegan Murray,29:41,5,13,.385,4,9,.444,1,1,1.000,2,6,8,1,1,2,0,4,15,+12,29:41,.558,.538,.692,.077,6.1,21.1,13.1,4.2,1.6,5.1,0.0,17.8,127,108,2.9
Kevin Huerter,23:34,3,9,.333,1,5,.200,0,0,,2,3,5,2,0,0,1,3,7,+6,23:34,.389,.389,.556,.000,7.7,13.3,10.3,10.0,0.0,0.0,10.0,16.7,96,117,-9.6
Malik Monk,23:08,4,12,.333,2,9,.222,0,0,,1,1,2,7,0,2,2,2,10,+12,23:08,.417,.417,.750,.000,3.9,4.5,4.2,37.5,0.0,6.6,14.3,23.8,103,117,0.0
Sasha Vezenkov,15:37,3,6,.500,2,5,.400,0,0,,1,1,2,0,2,0,0,1,8,+9,15:37,.667,.667,.833,.000,5.8,6.7,6.2,0.0,6.1,0.0,0.0,15.1,140,106,6.8
Chris Duarte,14:44,3,5,.600,3,4,.750,0,0,,1,1,2,1,0,0,0,3,9,+5,14:44,.900,.900,.800,.000,6.1,7.1,6.6,8.8,0.0,0.0,0.0,13.4,182,119,7.7
Davion Mitchell,13:49,0,3,.000,0,2,.000,0,0,,0,3,3,4,0,0,1,3,0,+4,13:49,.000,.000,.667,.000,0.0,22.7,10.5,29.6,0.0,0.0,25.0,11.4,61,113,-13.8
JaVale McGee,13:27,4,4,1.000,0,0,,0,0,,0,1,1,1,0,1,0,0,8,+13,13:27,1.000,1.000,.000,.000,0.0,7.8,3.6,10.9,0.0,5.7,0.0,11.7,204,117,10.3
Alex Len,2:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,2:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-8.4
Kessler Edwards,1:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,1:16,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,0,123,-40.8
Keon Ellis,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,1:16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-8.4
Jordan Ford,1:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,1:16,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,0,123,-40.8
Colby Jones,1:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,1:16,,,,,0.0,82.4,38.3,0.0,0.0,0.0,,0.0,0,90,-1.3
Team Totals,240,47,102,.461,19,51,.373,17,20,.850,15,30,45,29,6,8,11,25,130,,240,.587,.554,.500,.196,28.3,65.2,45.5,61.7,5.9,12.7,9.0,100.0,128.0,112.2,
