Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,34:50,14,19,.737,7,10,.700,6,6,1.000,1,3,4,4,2,0,4,0,41,+10,34:50,.947,.921,.526,.316,3.6,9.8,6.9,19.2,2.6,0.0,15.6,31.5,150,112,18.9
Chris Paul,33:10,5,12,.417,0,2,.000,0,0,,0,2,2,12,3,0,3,2,10,+2,33:10,.417,.417,.167,.000,0.0,6.9,3.6,42.6,4.1,0.0,20.0,19.4,104,109,-1.3
Klay Thompson,32:48,7,12,.583,2,4,.500,2,2,1.000,0,3,3,4,1,0,3,4,18,+4,32:48,.699,.667,.333,.167,0.0,10.5,5.5,15.5,1.4,0.0,18.9,20.7,116,114,-1.4
Kevon Looney,28:12,4,6,.667,0,0,,0,0,,3,9,12,6,3,1,1,3,8,+4,28:12,.667,.667,.000,.000,13.4,36.5,25.5,24.8,4.9,3.2,14.3,10.6,150,98,11.3
Andrew Wiggins,26:55,5,13,.385,0,3,.000,1,2,.500,1,4,5,3,0,2,2,4,11,+2,26:55,.396,.385,.231,.154,4.7,17.0,11.1,13.7,0.0,6.6,12.6,25.2,84,111,-10.0
Jonathan Kuminga,25:59,5,11,.455,1,3,.333,1,2,.500,1,4,5,0,0,0,2,3,12,+9,25:59,.505,.500,.273,.182,4.9,17.6,11.5,0.0,0.0,0.0,14.4,22.9,87,115,-11.9
Moses Moody,21:07,4,5,.800,2,3,.667,0,0,,0,3,3,1,3,0,1,0,10,+11,21:07,1.000,1.000,.600,.000,0.0,16.2,8.5,5.8,6.5,0.0,16.7,12.2,148,102,11.7
Gary Payton II,18:01,2,4,.500,1,3,.333,2,2,1.000,0,0,0,1,1,0,2,3,7,-3,18:01,.717,.625,.750,.500,0.0,0.0,0.0,6.2,2.5,0.0,29.1,16.3,102,114,-5.0
Dario Šarić,14:17,2,5,.400,1,4,.250,0,0,,1,3,4,1,1,0,1,4,5,-6,14:17,.500,.500,.800,.000,8.8,24.0,16.8,8.1,3.2,0.0,16.7,18.0,97,106,-6.3
Trayce Jackson-Davis,4:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+7,4:41,,,,,0.0,24.4,12.8,0.0,0.0,0.0,,0.0,0,113,-9.4
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brandin Podziemski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,87,.552,14,32,.438,12,14,.857,7,32,39,32,14,3,19,24,122,,240,.655,.632,.368,.161,18.4,76.2,48.8,66.7,13.3,5.6,16.9,100.0,116.2,108.6,
