Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Trae Young,35:18,4,16,.250,2,5,.400,8,10,.800,1,2,3,12,3,0,6,2,18,-5,35:18,.441,.313,.313,.625,3.2,5.8,4.6,44.6,3.9,0.0,22.7,31.4,94,120,-3.6
Dejounte Murray,34:45,8,17,.471,0,3,.000,2,3,.667,2,5,7,6,1,1,1,1,18,-6,34:45,.491,.471,.176,.176,6.6,14.7,10.9,26.8,1.3,3.0,5.2,23.4,113,122,0.0
De'Andre Hunter,32:15,8,13,.615,3,7,.429,8,8,1.000,0,6,6,1,0,1,0,3,27,-1,32:15,.817,.731,.538,.615,0.0,19.0,10.0,4.9,0.0,3.2,0.0,21.5,167,123,8.6
Clint Capela,28:07,6,12,.500,0,0,,1,2,.500,6,7,13,2,0,1,1,3,13,-9,28:07,.505,.500,.000,.167,24.4,25.4,24.9,10.8,0.0,3.7,7.2,20.7,119,121,-3.1
Saddiq Bey,25:43,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,1,1,2,5,-6,25:43,.625,.625,.500,.000,0.0,4.0,2.1,4.9,0.0,4.1,20.0,8.2,99,127,-4.9
Jalen Johnson,29:49,5,8,.625,0,2,.000,1,3,.333,0,9,9,2,1,1,3,2,11,-1,29:49,.590,.625,.250,.375,0.0,30.8,16.3,9.5,1.6,3.5,24.4,17.4,89,116,-3.8
Bogdan Bogdanović,25:50,6,11,.545,4,9,.444,0,0,,0,1,1,3,1,0,2,3,16,0,25:50,.727,.727,.818,.000,0.0,4.0,2.1,18.1,1.8,0.0,15.4,21.2,119,125,2.6
Onyeka Okongwu,20:00,1,2,.500,0,0,,4,4,1.000,0,2,2,1,1,1,0,4,6,+2,20:00,.798,.500,.000,2.000,0.0,10.2,5.4,6.1,2.3,5.2,0.0,7.9,178,118,-0.1
AJ Griffin,8:13,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,0,6,-4,8:13,.750,.750,1.000,.000,0.0,24.9,13.1,0.0,0.0,0.0,0.0,20.5,134,124,7.7
Kobe Bufkin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trent Forrest,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
