Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,31:54,11,17,.647,1,3,.333,3,4,.750,2,5,7,3,1,0,5,4,26,+5,31:54,.693,.676,.176,.235,6.4,13.7,10.3,19.3,1.5,0.0,21.0,33.4,109,89,6.9
CJ McCollum,29:38,4,11,.364,2,7,.286,2,4,.500,0,3,3,7,4,0,1,2,12,+18,29:38,.470,.455,.636,.364,0.0,8.8,4.8,33.8,6.5,0.0,7.3,20.8,103,80,11.5
Zion Williamson,28:05,12,17,.706,0,0,,0,2,.000,1,4,5,2,1,0,0,0,24,+11,28:05,.671,.706,.000,.118,3.6,12.4,8.4,17.5,1.7,0.0,0.0,28.6,131,89,15.0
Herbert Jones,27:32,4,6,.667,2,2,1.000,0,0,,0,2,2,1,0,3,1,5,10,+6,27:32,.833,.833,.333,.000,0.0,6.3,3.4,5.3,0.0,9.9,14.3,11.4,132,91,5.8
Jonas Valančiūnas,20:59,3,7,.429,0,1,.000,2,2,1.000,0,4,4,0,0,0,4,4,8,+5,20:59,.508,.429,.143,.286,0.0,16.6,9.0,0.0,0.0,0.0,33.7,25.4,64,91,-13.4
Matt Ryan,25:43,1,8,.125,1,8,.125,0,0,,0,3,3,3,1,1,0,3,3,+8,25:43,.188,.188,1.000,.000,0.0,10.2,5.5,14.7,1.9,3.5,0.0,13.9,56,88,-3.2
Dyson Daniels,21:46,1,7,.143,0,3,.000,0,4,.000,0,4,4,3,1,0,1,2,2,+11,21:46,.114,.143,.429,.571,0.0,16.0,8.6,17.5,2.2,0.0,10.2,20.1,37,86,-10.4
Jordan Hawkins,17:46,3,7,.429,3,6,.500,0,0,,0,4,4,1,0,0,1,0,9,+1,17:46,.643,.643,.857,.000,0.0,19.6,10.6,8.5,0.0,0.0,12.5,20.2,106,90,6.3
Larry Nance Jr.,16:15,0,1,.000,0,0,,0,0,,1,5,6,0,0,1,0,2,0,+7,16:15,.000,.000,.000,.000,6.3,26.9,17.4,0.0,0.0,5.6,0.0,2.8,62,83,-3.5
Kira Lewis Jr.,10:10,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,0,0,2,-10,10:10,.250,.250,.500,.000,0.0,17.2,9.3,0.0,0.0,0.0,0.0,17.6,50,91,-9.8
Cody Zeller,7:44,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7,7:44,.000,.000,.000,.000,0.0,11.3,6.1,0.0,0.0,0.0,0.0,5.8,0,94,-8.1
E.J. Liddell,2:28,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-10,2:28,.000,.000,1.000,.000,0.0,70.8,38.2,0.0,0.0,0.0,0.0,18.2,0,63,-12.5
Team Totals,240,40,87,.460,9,33,.273,7,16,.438,4,39,43,20,8,5,13,22,96,,240,.510,.511,.379,.184,8.5,70.9,42.2,50.0,8.0,9.4,12.1,100.0,96.2,87.2,
