Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,28:19,2,16,.125,0,4,.000,3,4,.750,1,3,4,7,1,0,0,2,7,-22,28:19,.197,.125,.250,.250,3.8,15.9,8.8,35.3,1.8,0.0,0.0,28.2,64,134,-10.4
Jalen Williams,27:46,6,9,.667,0,1,.000,1,1,1.000,0,3,3,5,0,1,0,2,13,-21,27:46,.689,.667,.111,.111,0.0,16.2,6.7,32.5,0.0,2.8,0.0,15.3,146,136,4.1
Chet Holmgren,25:34,7,12,.583,1,4,.250,4,4,1.000,2,2,4,0,0,0,1,2,19,-23,25:34,.690,.625,.333,.333,8.3,11.7,9.8,0.0,0.0,0.0,6.8,25.9,129,139,1.1
Josh Giddey,21:55,4,13,.308,1,2,.500,0,0,,1,1,2,3,1,0,2,0,9,-18,21:55,.346,.346,.154,.000,4.9,6.8,5.7,23.3,2.3,0.0,13.3,30.7,71,135,-7.6
Luguentz Dort,20:43,3,7,.429,1,5,.200,3,3,1.000,1,0,1,0,1,1,0,2,10,-18,20:43,.601,.500,.714,.429,5.1,0.0,3.0,0.0,2.4,3.8,0.0,18.0,126,133,1.2
Cason Wallace,21:56,3,3,1.000,1,1,1.000,0,0,,1,2,3,1,1,1,0,1,7,-11,21:56,1.167,1.167,.333,.000,4.9,13.7,8.5,7.2,2.3,3.6,0.0,6.1,229,131,6.5
Ousmane Dieng,19:14,2,8,.250,0,5,.000,1,1,1.000,0,5,5,1,0,0,0,0,5,-10,19:14,.296,.250,.625,.125,0.0,39.0,16.2,7.8,0.0,0.0,0.0,19.7,67,134,-11.3
Isaiah Joe,16:42,2,7,.286,1,4,.250,0,0,,0,2,2,1,4,0,1,3,5,-5,16:42,.357,.357,.571,.000,0.0,18.0,7.5,9.2,12.0,0.0,12.5,21.5,66,111,-0.3
Aleksej Pokusevski,14:17,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,1,2,1,1,-11,14:17,.266,.000,1.000,2.000,0.0,10.5,4.4,0.0,0.0,5.5,51.5,12.2,26,135,-15.9
Vasilije Micić,14:10,1,3,.333,0,2,.000,0,0,,0,0,0,3,0,0,2,1,2,-9,14:10,.333,.333,.667,.000,0.0,0.0,0.0,30.2,0.0,0.0,40.0,15.8,61,141,-15.5
Aaron Wiggins,10:08,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,5,-8,10:08,.644,.667,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,125,141,-3.5
Tre Mann,8:14,5,7,.714,1,2,.500,1,1,1.000,1,3,4,1,0,0,1,0,12,-5,8:14,.806,.786,.286,.143,13.0,54.7,30.3,74.3,0.0,0.0,11.8,46.0,132,132,27.1
Keyontae Johnson,5:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,5:31,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0,141,-16.4
Olivier Sarr,5:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,5:31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,141,-10.8
Dāvis Bertāns,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,90,.411,6,32,.188,15,18,.833,7,22,29,22,8,4,9,14,95,,240,.485,.444,.356,.200,15.6,68.8,37.7,59.5,8.3,6.6,8.4,100.0,99.0,133.4,
