Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,36:57,6,12,.500,3,6,.500,0,0,,2,5,7,1,1,0,3,2,15,-13,36:57,.625,.625,.500,.000,5.8,14.1,10.0,4.6,1.3,0.0,20.0,16.8,99,112,-1.3
Tyrese Haliburton,36:06,6,16,.375,1,8,.125,6,7,.857,1,4,5,13,2,0,4,1,19,+2,36:06,.498,.406,.500,.438,3.0,11.6,7.3,61.7,2.6,0.0,17.3,26.5,109,110,4.2
Myles Turner,31:45,6,14,.429,3,8,.375,5,8,.625,2,9,11,3,0,2,1,2,20,-9,31:45,.571,.536,.571,.571,6.7,29.6,18.3,16.8,0.0,4.3,5.4,24.1,119,108,7.2
Bennedict Mathurin,27:34,4,11,.364,1,4,.250,6,6,1.000,1,3,4,0,0,0,2,5,15,-7,27:34,.550,.409,.364,.545,3.9,11.4,7.7,0.0,0.0,0.0,12.8,23.5,103,116,-7.5
Obi Toppin,23:51,2,5,.400,0,2,.000,2,2,1.000,2,6,8,0,1,0,0,1,6,+9,23:51,.510,.400,.400,.400,8.9,26.3,17.7,0.0,2.0,0.0,0.0,10.2,123,108,-1.8
Aaron Nesmith,27:19,1,4,.250,1,4,.250,2,2,1.000,0,4,4,3,0,2,0,6,5,-15,27:19,.512,.375,1.000,.500,0.0,15.3,7.7,15.4,0.0,5.0,0.0,7.4,132,110,-0.8
Andrew Nembhard,21:16,3,7,.429,0,4,.000,0,0,,0,1,1,2,2,0,4,4,6,-2,21:16,.429,.429,.571,.000,0.0,4.9,2.5,15.4,4.5,0.0,36.4,21.4,59,108,-11.5
Buddy Hield,18:57,4,12,.333,3,8,.375,0,0,,3,2,5,4,0,0,2,0,11,-2,18:57,.458,.458,.667,.000,16.9,11.0,13.9,39.2,0.0,0.0,14.3,30.6,99,116,3.0
Jalen Smith,16:15,4,7,.571,0,2,.000,0,0,,0,2,2,0,1,1,1,3,8,+2,16:15,.571,.571,.286,.000,0.0,12.8,6.5,0.0,2.9,4.2,12.5,20.4,92,105,-3.2
Isaiah Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
T.J. McConnell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Nwora,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ben Sheppard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daniel Theis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,88,.409,12,46,.261,21,25,.840,11,36,47,26,7,5,17,24,105,,240,.530,.477,.523,.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,100.0,103.5,110.4,
