Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cade Cunningham,35:27,5,15,.333,3,7,.429,4,5,.800,0,2,2,5,0,0,7,1,17,-14,35:27,.494,.433,.467,.333,0.0,8.0,3.2,21.0,0.0,0.0,28.9,27.9,78,127,-11.9
Isaiah Stewart,30:50,4,9,.444,2,3,.667,2,2,1.000,0,7,7,1,0,0,2,2,12,-7,30:50,.607,.556,.333,.222,0.0,32.1,12.8,4.8,0.0,0.0,16.8,15.7,100,124,-4.8
Ausar Thompson,30:36,6,14,.429,0,2,.000,3,4,.750,7,3,10,3,1,3,3,4,15,-13,30:36,.476,.429,.143,.286,21.5,13.8,18.5,15.9,1.5,8.7,16.0,25.0,104,116,-1.5
Killian Hayes,27:22,4,11,.364,1,4,.250,1,2,.500,0,4,4,7,1,1,1,3,10,-15,27:22,.421,.409,.364,.182,0.0,20.6,8.3,38.4,1.7,3.2,7.8,19.2,104,119,-1.1
Jalen Duren,23:19,4,11,.364,0,0,,0,1,.000,3,4,7,1,1,0,1,3,8,-8,23:19,.350,.364,.000,.091,12.1,24.2,17.0,6.7,2.0,0.0,8.0,21.8,82,120,-11.1
Marvin Bagley III,24:01,3,4,.750,0,0,,7,8,.875,1,3,4,1,0,0,0,1,13,0,24:01,.864,.750,.000,2.000,3.9,17.6,9.4,6.1,0.0,0.0,0.0,12.8,188,126,3.3
Alec Burks,21:06,4,9,.444,3,4,.750,0,0,,1,1,2,7,0,0,0,3,11,-9,21:06,.611,.611,.444,.000,4.5,6.7,5.4,53.3,0.0,0.0,0.0,17.4,149,127,9.0
Jaden Ivey,19:17,7,13,.538,4,6,.667,2,2,1.000,1,1,2,3,1,1,1,5,20,-4,19:17,.720,.692,.462,.154,4.9,7.3,5.9,34.6,2.4,4.6,6.7,31.5,134,117,15.8
Marcus Sasser,14:02,2,4,.500,2,2,1.000,0,0,,0,2,2,2,1,0,0,1,6,-1,14:02,.750,.750,.500,.000,0.0,20.1,8.0,21.3,3.3,0.0,0.0,11.6,155,118,7.0
Joe Harris,10:22,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-5,10:22,.000,.000,.000,.000,0.0,0.0,0.0,11.9,0.0,0.0,50.0,7.9,29,128,-16.2
Jared Rhoden,1:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+8,1:49,,,,,0.0,77.7,31.1,0.0,0.0,0.0,,0.0,0,119,-4.7
Stanley Umude,1:49,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+8,1:49,,,,,0.0,0.0,0.0,0.0,25.9,0.0,,0.0,0,69,20.7
Malcolm Cazalon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Wiseman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,91,.429,15,28,.536,19,24,.792,13,28,41,31,6,5,16,25,112,,240,.551,.511,.308,.264,25.5,82.4,48.2,79.5,5.9,9.3,13.6,100.0,109.7,121.4,
