Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,35:02,7,14,.500,2,7,.286,9,11,.818,1,4,5,4,1,0,4,2,25,+2,35:02,.663,.571,.500,.786,3.3,13.4,8.3,15.9,1.4,0.0,17.5,27.4,119,116,0.9
Malik Beasley,31:54,2,8,.250,1,6,.167,0,2,.000,0,3,3,2,2,0,2,3,5,-10,31:54,.282,.313,.750,.250,0.0,11.0,5.4,7.3,3.0,0.0,18.4,14.3,57,112,-9.1
Giannis Antetokounmpo,31:51,12,21,.571,1,3,.333,8,11,.727,1,6,7,2,0,1,2,3,33,+18,31:51,.639,.595,.143,.524,3.6,22.1,12.7,11.6,0.0,2.9,7.2,36.7,124,115,5.4
Brook Lopez,29:23,5,9,.556,1,4,.250,0,0,,3,4,7,3,1,1,2,3,11,-10,29:23,.611,.611,.444,.000,11.7,15.9,13.8,13.7,1.6,3.1,18.2,15.7,119,112,1.7
Khris Middleton,17:03,1,4,.250,0,2,.000,3,4,.750,0,2,2,5,1,0,1,2,5,+14,17:03,.434,.250,.500,1.000,0.0,13.7,6.8,34.2,2.8,0.0,14.8,16.7,109,112,-0.6
Jae Crowder,25:20,3,7,.429,2,3,.667,0,0,,1,4,5,2,1,1,1,2,8,-11,25:20,.571,.571,.429,.000,4.5,18.5,11.4,9.9,1.9,3.6,12.5,13.3,114,111,2.5
Pat Connaughton,22:31,3,5,.600,2,3,.667,0,0,,0,5,5,2,0,1,1,2,8,+5,22:31,.800,.800,.600,.000,0.0,26.0,12.8,11.3,0.0,4.1,16.7,11.2,134,113,3.8
Bobby Portis,18:37,7,10,.700,0,2,.000,2,2,1.000,2,6,8,2,2,1,0,3,16,+18,18:37,.735,.700,.200,.200,12.3,37.7,24.9,19.9,5.1,5.0,0.0,24.6,158,98,17.3
A.J. Green,15:21,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,3,0,+8,15:21,.000,.000,.750,.000,0.0,0.0,0.0,14.2,0.0,0.0,0.0,11.0,35,121,-16.1
Cameron Payne,12:58,4,5,.800,3,4,.750,0,0,,1,0,1,0,0,0,1,0,11,+6,12:58,1.100,1.100,.800,.000,8.8,0.0,4.5,0.0,0.0,0.0,16.7,19.4,157,121,13.7
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Andre Jackson Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Robin Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,87,.506,12,37,.324,22,30,.733,9,34,43,24,8,5,14,23,122,,240,.609,.575,.425,.345,21.4,82.9,51.8,54.5,7.9,9.6,12.3,100.0,120.2,112.4,
