Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,37:47,13,21,.619,5,8,.625,0,1,.000,0,5,5,7,1,0,5,4,31,-9,37:47,.723,.738,.381,.048,0.0,19.9,8.6,32.4,1.3,0.0,18.9,31.5,121,134,5.4
Karl-Anthony Towns,36:11,7,17,.412,1,3,.333,1,1,1.000,2,8,10,3,1,0,0,2,16,-8,36:11,.459,.441,.176,.059,6.3,33.2,17.9,11.5,1.4,0.0,0.0,21.7,111,132,-3.6
Rudy Gobert,30:41,3,7,.429,0,0,,8,11,.727,6,7,13,1,1,2,0,2,14,-13,30:41,.591,.429,.000,1.571,22.3,34.2,27.5,4.0,1.6,5.6,0.0,17.4,149,126,2.0
Mike Conley,28:02,2,9,.222,2,6,.333,0,0,,1,1,2,3,0,0,0,3,6,-12,28:02,.333,.333,.667,.000,4.1,5.4,4.6,12.7,0.0,0.0,0.0,14.5,97,138,-11.5
Jaden McDaniels,23:56,5,6,.833,2,2,1.000,0,0,,0,3,3,2,0,1,0,2,12,-8,23:56,1.000,1.000,.333,.000,0.0,18.8,8.1,11.8,0.0,3.6,0.0,11.3,200,133,8.3
Kyle Anderson,24:47,2,5,.400,0,2,.000,0,0,,1,1,2,5,2,1,2,1,4,-8,24:47,.400,.400,.400,.000,4.6,6.1,5.2,24.1,4.0,3.5,28.6,12.7,97,125,-0.5
Naz Reid,23:58,5,12,.417,3,7,.429,0,0,,0,1,1,0,0,0,1,1,13,-21,23:58,.542,.542,.583,.000,0.0,6.3,2.7,0.0,0.0,0.0,7.7,24.4,99,138,-7.5
Shake Milton,16:33,4,8,.500,2,2,1.000,0,0,,0,1,1,1,0,0,1,1,10,+2,16:33,.625,.625,.250,.000,0.0,9.1,3.9,9.0,0.0,0.0,11.1,24.5,112,137,-3.4
Nickeil Alexander-Walker,13:21,1,3,.333,1,3,.333,0,2,.000,0,0,0,2,0,0,1,1,3,-9,13:21,.387,.500,1.000,.667,0.0,0.0,0.0,17.8,0.0,0.0,20.5,16.5,80,138,-10.7
Luka Garza,1:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+4,1:11,1.000,1.000,.000,.000,0.0,100.0,54.8,0.0,0.0,0.0,0.0,38.1,200,128,35.1
Josh Minott,1:11,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4,1:11,,,,,0.0,0.0,0.0,0.0,0.0,72.4,,0.0,0,63,41.6
Jordan McLaughlin,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+4,1:11,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,200,138,27.6
Daishen Nix,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,138,-10.2
Troy Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,90,.489,16,33,.485,9,15,.600,10,28,38,24,5,5,10,17,113,,240,.585,.578,.367,.167,23.8,87.5,51.4,54.5,5.2,8.9,9.4,100.0,118.1,132.7,
