Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shaedon Sharpe,38:13,4,10,.400,2,5,.400,4,4,1.000,2,3,5,3,1,2,4,3,14,+4,38:13,.595,.500,.500,.400,5.5,7.2,6.4,11.4,1.4,3.9,25.4,18.7,103,100,-0.7
Jerami Grant,37:07,8,18,.444,2,8,.250,4,4,1.000,1,5,6,0,1,1,2,2,22,+8,37:07,.557,.500,.444,.222,2.8,12.4,7.9,0.0,1.4,2.0,9.2,26.6,108,99,-0.7
Scoot Henderson,34:25,4,12,.333,0,6,.000,3,4,.750,0,4,4,7,2,0,4,6,11,+1,34:25,.400,.333,.500,.333,0.0,10.7,5.7,30.1,3.0,0.0,22.5,23.5,84,97,-8.3
Deandre Ayton,32:01,5,9,.556,0,0,,0,0,,7,16,23,2,1,2,1,1,10,+7,32:01,.556,.556,.000,.000,22.8,46.1,35.2,9.8,1.6,4.6,10.0,14.2,131,83,6.1
Matisse Thybulle,18:52,3,4,.750,3,4,.750,0,0,,0,0,0,2,0,0,0,1,9,-5,18:52,1.125,1.125,1.000,.000,0.0,0.0,0.0,16.8,0.0,0.0,0.0,9.6,222,108,10.9
Malcolm Brogdon,29:24,9,21,.429,3,7,.429,0,1,.000,1,2,3,5,0,0,1,2,21,+9,29:24,.490,.500,.333,.048,3.5,6.3,5.0,35.0,0.0,0.0,4.5,34.7,110,105,2.1
Toumani Camara,23:21,1,4,.250,0,2,.000,1,2,.500,2,5,7,0,0,1,1,2,3,+12,23:21,.307,.250,.500,.500,8.9,19.8,14.7,0.0,0.0,3.2,17.0,11.4,73,98,-8.7
Jabari Walker,15:59,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,1,2,4,+1,15:59,.667,.667,.000,.000,0.0,17.3,9.2,0.0,0.0,4.6,25.0,11.4,93,98,-5.4
Skylar Mays,10:38,2,4,.500,1,3,.333,0,0,,0,0,0,1,1,0,0,0,5,+3,10:38,.625,.625,.750,.000,0.0,0.0,0.0,15.6,4.9,0.0,0.0,17.1,138,98,8.1
Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Minaya,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kris Murray,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,85,.447,11,35,.314,12,15,.800,13,38,51,20,6,7,14,19,99,,240,.540,.512,.412,.176,28.3,73.1,52.0,52.6,6.5,10.8,13.3,100.0,106.6,98.0,
