Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,36:55,7,19,.368,3,7,.429,1,2,.500,0,3,3,14,0,2,3,0,18,-5,36:55,.453,.447,.368,.105,0.0,7.4,4.1,48.0,0.0,4.3,13.1,28.7,104,110,3.3
Nikola Jokić,35:14,12,16,.750,1,3,.333,2,5,.400,1,9,10,11,0,2,1,3,27,+13,35:14,.742,.781,.188,.313,3.3,23.1,14.5,48.9,0.0,4.5,5.2,25.3,152,102,18.7
Kentavious Caldwell-Pope,33:16,3,5,.600,2,4,.500,0,0,,0,3,3,0,1,2,2,4,8,+11,33:16,.800,.800,.800,.000,0.0,8.2,4.6,0.0,1.5,4.7,28.6,9.8,93,105,-2.5
Aaron Gordon,33:12,10,12,.833,0,0,,1,4,.250,3,4,7,2,0,0,3,2,21,+8,33:12,.763,.833,.000,.333,10.6,10.9,10.8,8.9,0.0,0.0,17.9,23.4,122,110,0.3
Michael Porter Jr.,18:36,3,8,.375,2,6,.333,0,0,,0,1,1,2,0,1,1,3,8,+2,18:36,.500,.500,.750,.000,0.0,4.9,2.7,13.1,0.0,4.2,11.1,22.4,94,109,-4.3
Christian Braun,30:01,4,8,.500,1,2,.500,0,0,,1,7,8,2,1,0,1,0,9,+6,30:01,.563,.563,.250,.000,3.9,21.1,13.6,7.9,1.7,0.0,11.1,13.9,108,103,-0.6
Reggie Jackson,18:46,2,6,.333,0,3,.000,0,1,.000,1,3,4,1,0,0,1,2,4,+9,18:46,.311,.333,.500,.167,6.2,14.5,10.9,6.1,0.0,0.0,13.4,18.4,69,108,-15.1
Peyton Watson,15:01,2,4,.500,0,1,.000,1,2,.500,0,2,2,0,0,1,0,0,5,0,15:01,.512,.500,.250,.500,0.0,12.1,6.8,0.0,0.0,5.2,0.0,15.1,102,108,-3.7
Zeke Nnaji,12:46,2,2,1.000,0,0,,2,3,.667,1,2,3,0,2,0,0,0,6,-5,12:46,.904,1.000,.000,1.500,9.2,14.2,12.0,0.0,7.8,0.0,0.0,12.1,188,93,11.6
Julian Strawther,6:13,2,4,.500,0,2,.000,0,0,,0,2,2,0,0,0,0,0,4,+1,6:13,.500,.500,.500,.000,0.0,29.1,16.4,0.0,0.0,0.0,0.0,29.8,93,103,-6.9
Collin Gillespie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,84,.560,9,28,.321,7,17,.412,7,36,43,32,4,8,12,14,110,,240,.601,.613,.333,.202,17.1,67.9,45.7,68.1,4.1,13.1,11.6,100.0,114.1,105.8,
