Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Brunson,33:40,7,16,.438,1,3,.333,4,5,.800,0,5,5,2,2,0,5,1,19,+21,33:40,.522,.469,.188,.313,0.0,14.3,7.6,10.2,3.0,0.0,21.6,29.8,88,94,-2.9
Julius Randle,31:23,5,14,.357,2,5,.400,7,10,.700,3,7,10,2,1,0,1,1,19,+18,31:23,.516,.429,.357,.714,10.4,21.4,16.3,10.1,1.6,0.0,5.2,26.7,118,94,5.3
RJ Barrett,24:50,5,13,.385,3,5,.600,3,4,.750,1,2,3,0,0,0,1,2,16,+14,24:50,.542,.500,.385,.308,4.4,7.7,6.2,0.0,0.0,0.0,6.3,27.4,111,103,-0.5
Mitchell Robinson,22:19,4,4,1.000,0,0,,0,0,,3,4,7,0,1,0,1,0,8,+6,22:19,1.000,1.000,.000,.000,14.7,17.2,16.0,0.0,2.3,0.0,20.0,9.7,161,94,7.7
Quentin Grimes,21:53,2,4,.500,1,3,.333,0,0,,0,1,1,1,2,0,0,3,5,+8,21:53,.625,.625,.750,.000,0.0,4.4,2.3,6.5,4.6,0.0,0.0,7.9,139,94,4.1
Josh Hart,27:59,2,6,.333,1,3,.333,0,0,,0,7,7,3,0,0,1,2,5,+2,27:59,.417,.417,.500,.000,0.0,24.0,12.8,14.9,0.0,0.0,14.3,10.8,95,96,-1.5
Immanuel Quickley,23:56,6,11,.545,3,6,.500,3,3,1.000,0,3,3,2,0,0,3,0,18,+9,23:56,.731,.682,.545,.273,0.0,12.0,6.4,15.4,0.0,0.0,19.6,27.7,121,102,6.9
Isaiah Hartenstein,22:51,5,10,.500,0,2,.000,3,3,1.000,4,3,7,1,2,1,1,3,13,+12,22:51,.574,.500,.200,.300,19.1,12.6,15.6,7.6,4.4,3.9,8.1,23.3,127,89,6.7
Donte DiVincenzo,15:00,1,3,.333,1,3,.333,0,0,,0,2,2,6,1,0,1,3,3,+9,15:00,.500,.500,1.000,.000,0.0,12.8,6.8,55.2,3.4,0.0,25.0,11.5,127,93,8.9
Miles McBride,4:09,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-5,4:09,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0,106,-18.6
DaQuan Jeffries,4:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-5,4:09,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,149,106,6.8
Jericho Sims,2:50,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0,2:50,.000,.000,.000,.000,38.5,0.0,18.0,44.6,0.0,0.0,0.0,15.3,99,107,3.0
Dylan Windler,2:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0,2:50,.000,.000,1.000,.000,0.0,33.9,18.0,0.0,0.0,0.0,0.0,15.3,0,92,-16.3
Ryan Arcidiacono,2:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1,2:11,,,,,0.0,44.0,23.4,0.0,0.0,0.0,,0.0,0,87,-0.2
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,86,.442,13,34,.382,20,25,.800,12,36,48,18,9,1,14,17,109,,240,.562,.517,.395,.291,27.3,72.0,51.1,47.4,9.4,1.9,12.6,100.0,114.1,95.3,
