Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,37:19,12,19,.632,1,3,.333,1,2,.500,0,2,2,7,2,0,5,0,26,+3,37:19,.654,.658,.158,.105,0.0,5.7,3.2,33.9,2.5,0.0,20.1,29.5,111,115,0.3
Grayson Allen,37:04,5,9,.556,5,7,.714,4,4,1.000,1,6,7,3,0,1,2,2,19,-12,37:04,.883,.833,.778,.444,3.7,17.3,11.3,10.9,0.0,2.4,15.7,15.2,148,117,3.2
Eric Gordon,36:09,8,14,.571,4,9,.444,0,0,,0,2,2,6,0,0,4,1,20,+8,36:09,.714,.714,.643,.000,0.0,5.9,3.3,25.4,0.0,0.0,22.2,22.0,114,121,-2.1
Josh Okogie,30:04,3,10,.300,1,4,.250,4,5,.800,1,1,2,2,0,2,2,1,11,-3,30:04,.451,.350,.400,.500,4.6,3.5,4.0,8.6,0.0,5.8,14.1,20.9,92,117,-8.5
Jusuf Nurkić,30:02,4,10,.400,2,5,.400,2,2,1.000,0,12,12,4,1,2,0,4,12,-8,30:02,.551,.500,.500,.200,0.0,42.6,24.0,18.0,1.6,5.8,0.0,16.0,127,105,3.4
Yuta Watanabe,19:25,4,8,.500,3,7,.429,0,0,,1,2,3,2,1,0,2,1,11,-6,19:25,.688,.688,.875,.000,7.1,11.0,9.3,15.4,2.4,0.0,20.0,22.8,111,114,1.7
Nassir Little,17:55,2,3,.667,2,2,1.000,0,0,,0,2,2,1,2,0,1,5,6,+2,17:55,1.000,1.000,.667,.000,0.0,11.9,6.7,7.3,5.3,0.0,25.0,9.9,130,107,1.5
Drew Eubanks,17:09,1,3,.333,0,0,,1,2,.500,1,8,9,4,1,2,2,1,3,+13,17:09,.387,.333,.000,.667,8.0,49.8,31.5,28.6,2.8,10.2,34.0,15.2,95,98,4.3
Jordan Goodwin,14:53,3,7,.429,0,2,.000,0,0,,2,2,4,0,1,0,1,3,6,-2,14:53,.429,.429,.286,.000,18.4,14.3,16.1,0.0,3.2,0.0,12.5,23.8,87,112,-12.8
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keita Bates-Diop,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chimezie Metu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,83,.506,18,39,.462,12,15,.800,6,37,43,29,8,7,19,18,114,,240,.636,.614,.470,.181,17.1,82.2,53.8,69.0,7.9,12.7,17.5,100.0,112.2,113.2,
