Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Royce O'Neale,38:35,2,6,.333,2,5,.400,0,0,,0,7,7,5,2,1,3,5,6,-3,38:35,.500,.500,.833,.000,0.0,17.1,9.4,18.0,2.4,2.3,33.3,10.0,86,101,-2.6
Cam Thomas,34:17,4,19,.211,2,7,.286,3,4,.750,0,2,2,1,3,1,4,2,13,-9,34:17,.313,.263,.368,.211,0.0,5.5,3.0,4.5,4.1,2.6,16.2,31.1,56,101,-14.2
Ben Simmons,33:49,2,5,.400,0,0,,0,2,.000,2,9,11,5,0,1,4,4,4,-9,33:49,.340,.400,.000,.400,6.8,25.0,16.8,20.8,0.0,2.7,40.5,12.6,74,104,-8.9
Mikal Bridges,30:37,7,16,.438,2,7,.286,5,5,1.000,2,5,7,5,1,0,2,1,21,-14,30:37,.577,.500,.438,.313,7.5,15.4,11.8,30.1,1.5,0.0,9.9,28.4,118,105,3.4
Dorian Finney-Smith,29:50,6,10,.600,3,5,.600,0,0,,0,3,3,2,0,0,1,3,15,-20,29:50,.750,.750,.500,.000,0.0,9.5,5.2,11.8,0.0,0.0,9.1,15.9,127,110,1.0
Lonnie Walker IV,24:45,4,9,.444,1,4,.250,8,11,.727,1,2,3,4,3,0,3,1,17,+15,24:45,.614,.500,.444,1.222,4.6,7.6,6.3,26.5,5.7,0.0,17.8,29.3,114,98,5.8
Armoni Brooks,15:55,6,7,.857,5,6,.833,0,0,,0,2,2,0,0,0,0,0,17,+30,15:55,1.214,1.214,.857,.000,0.0,11.8,6.5,0.0,0.0,0.0,0.0,18.9,212,110,24.0
Trendon Watford,13:55,4,6,.667,1,2,.500,2,2,1.000,1,3,4,4,1,0,1,2,11,+19,13:55,.799,.750,.333,.333,8.2,20.3,14.8,59.5,3.4,0.0,12.7,24.4,153,99,18.0
Day'Ron Sharpe,12:42,2,3,.667,0,0,,1,2,.500,1,6,7,1,1,0,0,0,5,+15,12:42,.644,.667,.000,.667,9.0,44.5,28.4,12.8,3.7,0.0,0.0,13.2,144,91,7.3
Jalen Wilson,5:35,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-4,5:35,.000,.000,.000,.000,0.0,16.9,9.2,0.0,0.0,16.2,0.0,7.7,0,98,-5.8
Nic Claxton,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,82,.451,16,36,.444,19,26,.731,7,40,47,27,11,4,18,18,109,,240,.583,.549,.439,.317,16.7,78.4,50.5,73.0,10.8,7.5,16.2,100.0,106.6,102.7,
