Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,35:43,12,23,.522,6,10,.600,0,1,.000,0,3,3,5,0,0,3,2,30,-1,35:43,.640,.652,.435,.043,0.0,9.6,4.3,29.4,0.0,0.0,11.3,30.9,115,114,6.2
Jimmy Butler,34:06,7,16,.438,0,2,.000,6,8,.750,4,3,7,3,1,0,1,1,20,-3,34:06,.512,.438,.125,.500,11.0,10.1,10.6,14.5,1.4,0.0,4.9,25.1,115,111,1.0
Bam Adebayo,33:06,8,12,.667,0,0,,5,5,1.000,4,10,14,3,2,2,4,0,21,+5,33:06,.739,.667,.000,.417,11.4,34.5,21.8,15.9,2.8,6.3,22.0,23.0,125,99,9.4
Kyle Lowry,29:39,2,5,.400,2,5,.400,0,0,,0,3,3,3,2,1,2,3,6,+7,29:39,.600,.600,1.000,.000,0.0,11.6,5.2,13.6,3.2,3.5,28.6,9.9,96,104,-0.6
Jaime Jaquez Jr.,19:08,1,9,.111,0,6,.000,0,0,,2,2,4,1,2,1,2,4,2,+7,19:08,.111,.111,.667,.000,9.8,11.9,10.8,6.9,4.9,5.5,18.2,24.0,37,98,-16.0
Josh Richardson,30:18,1,9,.111,1,5,.200,1,2,.500,0,3,3,3,1,0,0,2,4,-13,30:18,.202,.167,.556,.222,0.0,11.3,5.1,12.7,1.5,0.0,0.0,13.6,62,110,-9.3
Haywood Highsmith,21:49,3,5,.600,3,4,.750,0,0,,0,4,4,2,1,1,1,0,9,-9,21:49,.900,.900,.800,.000,0.0,21.0,9.5,13.6,2.2,4.8,16.7,11.5,143,104,10.6
Duncan Robinson,21:17,2,8,.250,1,6,.167,0,0,,0,3,3,2,0,0,1,4,5,-4,21:17,.313,.313,.750,.000,0.0,16.1,7.3,13.1,0.0,0.0,11.1,17.7,69,112,-13.3
Thomas Bryant,14:54,3,4,.750,0,0,,2,2,1.000,1,4,5,0,1,0,2,4,8,-9,14:54,.820,.750,.000,.500,6.3,30.7,17.3,0.0,3.1,0.0,29.1,19.3,113,102,-3.2
Nikola Jović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Orlando Robinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,91,.429,13,38,.342,14,18,.778,11,35,46,22,10,5,16,20,105,,240,.531,.500,.418,.198,21.6,83.3,49.5,56.4,9.8,10.9,13.9,100.0,102.7,106.6,
