Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,39:24,4,15,.267,0,7,.000,2,2,1.000,2,4,6,3,2,0,0,2,10,+3,39:24,.315,.267,.467,.133,5.7,11.9,8.7,11.7,2.6,0.0,0.0,17.6,91,108,-6.4
Domantas Sabonis,37:06,8,16,.500,0,1,.000,7,12,.583,3,8,11,8,0,0,2,2,23,-4,37:06,.540,.500,.063,.750,9.0,25.2,16.9,40.4,0.0,0.0,8.6,27.4,122,112,6.6
Harrison Barnes,30:34,4,8,.500,4,7,.571,2,2,1.000,1,0,1,1,1,0,1,0,14,+2,30:34,.788,.750,.875,.250,3.7,0.0,1.9,5.3,1.7,0.0,10.1,14.1,146,113,4.7
Davion Mitchell,29:32,5,9,.556,3,6,.500,0,0,,0,3,3,4,3,0,2,1,13,-3,29:32,.722,.722,.667,.000,0.0,11.9,5.8,23.3,5.2,0.0,18.2,16.2,124,103,8.1
Kevin Huerter,26:51,4,11,.364,1,5,.200,2,2,1.000,2,7,9,3,1,0,1,3,11,+2,26:51,.463,.409,.455,.182,8.3,30.5,19.2,18.6,1.9,0.0,7.8,20.9,110,107,-1.2
Malik Monk,24:39,5,9,.556,3,5,.600,3,3,1.000,3,0,3,2,0,2,3,1,16,+1,24:39,.775,.722,.556,.333,13.6,0.0,7.0,14.8,0.0,7.8,22.5,23.6,126,110,9.0
Sasha Vezenkov,17:26,1,6,.167,0,3,.000,0,0,,0,5,5,0,0,0,1,2,2,-3,17:26,.167,.167,.500,.000,0.0,33.6,16.4,0.0,0.0,0.0,14.3,17.5,34,110,-20.0
Colby Jones,17:09,2,4,.500,0,0,,0,0,,1,2,3,1,1,1,0,3,4,-5,17:09,.500,.500,.000,.000,6.5,13.7,10.0,9.2,3.0,5.6,0.0,10.2,125,103,0.2
JaVale McGee,10:29,3,7,.429,0,0,,0,0,,2,4,6,0,0,1,1,0,6,+3,10:29,.429,.429,.000,.000,21.3,44.7,32.7,0.0,0.0,9.2,12.5,33.3,87,101,-5.3
Chris Duarte,6:50,0,3,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,3,2,-1,6:50,.258,.000,.333,.667,0.0,17.1,8.4,39.0,0.0,0.0,20.5,31.1,70,113,-20.7
Kessler Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keon Ellis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Ford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alex Len,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Slawson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,88,.409,11,35,.314,18,23,.783,14,34,48,24,8,4,12,17,101,,240,.515,.472,.398,.261,32.6,82.9,57.1,66.7,8.5,8.0,10.9,100.0,107.8,108.9,
