Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,37:47,7,20,.350,4,11,.364,1,1,1.000,2,4,6,4,1,1,0,4,19,-9,37:47,.465,.450,.550,.050,5.1,12.1,8.3,14.9,1.3,2.8,0.0,23.1,109,124,0.2
Cam Thomas,37:22,11,24,.458,2,6,.333,3,3,1.000,0,5,5,3,1,1,0,2,27,-9,37:22,.533,.500,.250,.125,0.0,15.3,7.0,13.3,1.3,2.9,0.0,28.9,114,123,2.9
Royce O'Neale,36:56,2,15,.133,2,13,.154,0,0,,1,3,4,3,1,1,0,4,6,-18,36:56,.200,.200,.867,.000,2.6,9.3,5.7,9.7,1.3,2.9,0.0,17.3,61,125,-11.3
Dorian Finney-Smith,36:46,5,10,.500,4,9,.444,0,0,,4,4,8,1,0,0,0,3,14,-19,36:46,.700,.700,.900,.000,10.4,12.4,11.4,3.6,0.0,0.0,0.0,11.6,153,129,1.2
Spencer Dinwiddie,35:17,8,14,.571,3,7,.429,0,3,.000,0,6,6,6,0,0,1,1,19,-6,35:17,.620,.679,.500,.214,0.0,19.4,8.9,25.4,0.0,0.0,6.1,19.7,126,127,2.2
Lonnie Walker IV,17:17,5,8,.625,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,0,13,-2,17:17,.732,.688,.250,.250,0.0,19.8,9.1,9.5,0.0,0.0,10.1,24.4,131,127,4.6
Day'Ron Sharpe,16:48,3,4,.750,0,0,,5,8,.625,3,4,7,1,0,0,2,3,11,+6,16:48,.731,.750,.000,2.000,17.1,27.2,21.7,8.3,0.0,0.0,21.0,24.2,130,125,-0.9
Dennis Smith Jr.,14:30,2,5,.400,1,4,.250,0,0,,0,1,1,1,1,2,1,3,5,-5,14:30,.500,.500,.800,.000,0.0,7.9,3.6,9.1,3.3,14.7,16.7,17.7,89,113,0.8
Trendon Watford,5:03,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,+8,5:03,,,,,0.0,45.3,20.7,44.2,0.0,0.0,,0.0,240,120,5.9
Armoni Brooks,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-8.3
Jalen Wilson,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-8.8
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,100,.430,17,52,.327,11,17,.647,10,32,42,22,4,5,5,21,114,,240,.530,.515,.520,.170,20.0,76.2,45.7,51.2,4.0,11.1,4.4,100.0,114.3,124.4,
