Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gordon Hayward,33:55,10,17,.588,1,2,.500,2,2,1.000,1,5,6,3,0,2,1,3,23,-3,33:55,.643,.618,.118,.118,3.8,17.7,11.0,12.9,0.0,5.9,5.3,24.0,136,128,2.3
P.J. Washington,33:17,6,13,.462,1,1,1.000,2,2,1.000,1,2,3,4,1,2,1,0,15,-13,33:17,.540,.500,.077,.154,3.9,7.2,5.6,15.0,1.5,6.0,6.7,19.3,124,127,1.9
Terry Rozier,31:11,7,14,.500,3,5,.600,5,5,1.000,0,6,6,3,0,1,0,0,22,0,31:11,.679,.607,.357,.357,0.0,23.1,12.0,12.7,0.0,3.2,0.0,22.4,155,128,5.9
LaMelo Ball,30:59,4,15,.267,2,7,.286,1,1,1.000,1,1,2,11,2,0,6,5,11,-15,30:59,.356,.333,.467,.067,4.2,3.9,4.0,41.8,3.2,0.0,28.0,29.9,84,127,-11.0
Mark Williams,30:03,9,12,.750,0,0,,9,9,1.000,4,3,7,1,2,2,3,2,27,-3,30:03,.846,.750,.000,.750,17.3,12.0,14.5,4.9,3.3,6.7,15.8,27.3,152,121,9.4
Brandon Miller,33:50,4,7,.571,0,2,.000,2,2,1.000,1,2,3,1,0,1,0,4,10,+17,33:50,.635,.571,.286,.286,3.8,7.1,5.5,3.4,0.0,3.0,0.0,10.1,147,132,-4.7
Nick Richards,17:56,4,4,1.000,0,0,,2,2,1.000,3,7,10,0,0,2,1,1,10,+4,17:56,1.025,1.000,.000,.500,21.7,46.8,34.8,0.0,0.0,11.2,17.0,14.2,174,117,8.5
JT Thor,14:43,3,3,1.000,1,1,1.000,0,0,,1,3,4,0,0,0,0,1,7,+14,14:43,1.167,1.167,.333,.000,8.8,24.5,16.9,0.0,0.0,0.0,0.0,8.8,232,129,6.7
Théo Maledon,14:05,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,4,0,+4,14:05,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.3,0,136,-25.9
Amari Bailey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leaky Black,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Miles Bridges,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Bryce McGowens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ish Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,88,.534,8,20,.400,23,23,1.000,12,29,41,23,5,10,13,20,125,,240,.637,.580,.227,.261,32.4,72.5,53.2,48.9,5.1,20.8,11.7,100.0,128.0,127.0,
