Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dillon Brooks,38:21,9,14,.643,2,4,.500,6,6,1.000,3,6,9,1,1,0,1,0,26,+25,38:21,.781,.714,.286,.429,8.3,14.7,11.7,4.4,1.3,0.0,5.7,20.7,152,95,10.2
Fred VanVleet,36:04,7,22,.318,4,14,.286,3,3,1.000,0,6,6,12,0,2,2,4,21,+13,36:04,.450,.409,.636,.136,0.0,15.7,8.3,52.0,0.0,6.2,7.9,31.6,107,93,4.9
Jalen Green,35:31,4,10,.400,0,2,.000,2,7,.286,0,2,2,5,0,0,3,1,10,+26,35:31,.382,.400,.200,.700,0.0,5.3,2.8,19.5,0.0,0.0,18.7,20.3,77,101,-8.9
Jabari Smith Jr.,34:30,9,15,.600,3,6,.500,0,0,,3,8,11,0,0,1,0,4,21,+4,34:30,.700,.700,.400,.000,9.3,21.8,15.9,0.0,0.0,3.2,0.0,19.5,139,94,6.0
Alperen Sengun,34:16,7,13,.538,1,3,.333,0,0,,0,9,9,6,2,0,2,2,15,+27,34:16,.577,.577,.231,.000,0.0,24.7,13.1,27.8,3.0,0.0,13.3,19.7,111,88,6.1
Jae'Sean Tate,20:44,4,6,.667,3,3,1.000,0,0,,0,4,4,1,0,0,0,4,11,+4,20:44,.917,.917,.500,.000,0.0,18.2,9.6,7.5,0.0,0.0,0.0,13.0,170,97,7.8
Aaron Holiday,19:00,0,4,.000,0,2,.000,0,0,,1,2,3,0,0,0,1,1,0,-1,19:00,.000,.000,.500,.000,5.6,9.9,7.9,0.0,0.0,0.0,20.0,11.8,17,99,-17.8
Jock Landale,12:01,0,1,.000,0,1,.000,0,0,,1,2,3,3,1,0,0,1,0,-6,12:01,.000,.000,1.000,.000,8.9,15.7,12.5,30.0,4.2,0.0,0.0,3.7,135,88,7.2
Jeff Green,5:25,0,1,.000,0,0,,1,2,.500,2,3,5,0,0,0,1,0,1,-2,5:25,.266,.000,.000,2.000,39.4,52.1,46.2,0.0,0.0,0.0,34.7,23.9,76,87,-10.7
Jermaine Samuels,1:22,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,0,1:22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,102,-7.5
Nate Hinton,1:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1:22,.532,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,124,100,-13.3
Cam Whitmore,1:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,0,1:22,,,,,0.0,68.9,36.6,0.0,0.0,0.0,100.0,32.9,0,83,-37.4
Reggie Bullock,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,87,.460,13,36,.361,14,20,.700,10,43,53,28,4,3,11,18,107,,240,.558,.534,.414,.230,22.2,84.3,55.2,70.0,4.2,7.0,10.3,100.0,113.4,94.3,
