Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,34:43,7,20,.350,4,11,.364,4,5,.800,4,4,8,1,0,1,2,4,22,-16,34:43,.495,.450,.550,.250,10.8,17.8,13.5,5.5,0.0,2.4,8.3,28.7,107,132,-0.1
Jordan Clarkson,31:58,5,14,.357,0,5,.000,0,0,,2,1,3,3,0,0,0,0,10,-18,31:58,.357,.357,.357,.000,5.9,4.8,5.5,16.4,0.0,0.0,0.0,18.0,98,137,-6.0
John Collins,28:33,5,10,.500,1,5,.200,3,4,.750,2,4,6,0,1,1,2,5,14,-21,28:33,.595,.550,.500,.400,6.6,21.7,12.3,0.0,1.8,2.9,14.5,19.9,110,127,-2.8
Talen Horton-Tucker,24:24,6,20,.300,2,6,.333,0,0,,2,2,4,5,2,1,2,1,14,-10,24:24,.350,.350,.300,.000,7.7,12.7,9.6,42.4,4.2,3.5,9.1,37.2,87,124,2.6
Walker Kessler,21:51,2,3,.667,0,0,,0,0,,1,3,4,0,0,3,0,0,4,-14,21:51,.667,.667,.000,.000,4.3,21.3,10.7,0.0,0.0,11.6,0.0,5.7,146,126,1.1
Keyonte George,27:14,3,6,.500,1,4,.250,1,2,.500,0,0,0,4,0,0,3,2,8,-15,27:14,.581,.583,.667,.333,0.0,0.0,0.0,23.7,0.0,0.0,30.4,15.0,94,137,-7.0
Collin Sexton,18:59,1,3,.333,1,3,.333,4,4,1.000,2,2,4,4,0,1,6,2,7,-14,18:59,.735,.500,1.000,1.333,9.9,16.3,12.3,31.1,0.0,4.4,55.8,23.4,83,131,-6.4
Kelly Olynyk,17:50,0,4,.000,0,2,.000,0,0,,2,2,4,1,0,0,2,4,0,-11,17:50,.000,.000,.500,.000,10.6,17.4,13.1,7.7,0.0,0.0,33.3,13.9,27,134,-22.6
Ochai Agbaji,17:20,3,5,.600,2,4,.500,0,1,.000,2,0,2,1,0,0,0,1,8,-4,17:20,.735,.800,.800,.200,10.9,0.0,6.8,10.4,0.0,0.0,0.0,12.9,158,137,6.8
Simone Fontecchio,9:32,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,1,0,5,-7,9:32,.833,.833,.333,.000,0.0,32.5,12.3,0.0,0.0,0.0,25.0,17.3,108,132,1.7
Luka Šamanić,3:47,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,0,3,-5,3:47,.615,.500,.500,.500,0.0,81.9,30.9,0.0,0.0,0.0,0.0,26.6,136,123,7.7
Omer Yurtseven,3:47,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-5,3:47,.000,.000,1.000,.000,0.0,0.0,0.0,36.2,0.0,0.0,0.0,10.9,58,137,-9.0
Kris Dunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,91,.385,12,43,.279,13,17,.765,17,22,39,20,3,7,18,20,95,,240,.482,.451,.473,.187,33.3,71.0,47.6,57.1,3.2,12.3,15.5,100.0,101.0,130.8,
