Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LaMelo Ball,39:04,11,23,.478,5,10,.500,3,3,1.000,2,8,10,13,1,1,3,6,30,+1,39:04,.617,.587,.435,.130,5.1,23.4,13.7,45.0,1.2,2.5,11.0,28.9,126,117,10.4
Brandon Miller,35:52,3,12,.250,0,5,.000,1,2,.500,0,1,1,1,1,0,0,3,7,-9,35:52,.272,.250,.417,.167,0.0,3.2,1.5,3.0,1.3,0.0,0.0,14.8,63,123,-13.2
P.J. Washington,34:15,8,15,.533,1,4,.250,3,4,.750,0,4,4,1,0,0,0,3,20,+8,34:15,.597,.567,.267,.267,0.0,13.3,6.2,3.7,0.0,0.0,0.0,20.2,122,124,-2.4
Gordon Hayward,33:47,9,23,.391,1,4,.250,1,4,.250,2,2,4,8,1,0,1,2,20,-4,33:47,.404,.413,.174,.174,5.9,6.8,6.3,31.4,1.4,0.0,3.9,31.5,97,122,-2.0
Mark Williams,27:17,8,8,1.000,0,0,,3,6,.500,2,8,10,1,0,0,2,3,19,-1,27:17,.893,1.000,.000,.750,7.3,33.5,19.5,5.0,0.0,0.0,15.8,19.1,144,119,4.0
Théo Maledon,20:51,4,9,.444,1,6,.167,0,0,,0,0,0,4,0,0,1,1,9,-7,20:51,.500,.500,.667,.000,0.0,0.0,0.0,23.1,0.0,0.0,10.0,19.8,103,127,-4.0
Nick Richards,20:43,6,7,.857,0,0,,0,0,,3,6,9,1,0,1,0,4,12,-5,20:43,.857,.857,.000,.000,14.5,33.1,23.2,6.6,0.0,4.7,0.0,14.0,177,116,6.0
JT Thor,14:57,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,0,0,-10,14:57,.000,.000,.000,.000,6.7,15.3,10.7,6.6,0.0,0.0,0.0,2.8,96,124,-5.4
Bryce McGowens,9:53,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,2,0,0,0,1,+1,9:53,.266,.000,1.000,2.000,0.0,23.1,10.8,0.0,9.4,0.0,0.0,7.9,61,101,0.9
Ish Smith,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-4,3:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.5,0,124,-39.0
Amari Bailey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leaky Black,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Smith Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,99,.495,8,30,.267,12,21,.571,10,33,43,30,5,2,8,25,118,,240,.545,.535,.303,.212,20.8,78.6,47.8,61.2,4.8,4.1,6.9,100.0,114.0,119.8,
