Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Max Strus,35:55,6,13,.462,3,10,.300,0,0,,0,4,4,4,1,0,0,3,15,+4,35:55,.577,.577,.769,.000,0.0,9.2,5.5,16.2,1.4,0.0,0.0,15.3,135,109,3.8
Donovan Mitchell,34:02,11,19,.579,5,11,.455,4,4,1.000,1,1,2,7,2,0,4,3,31,+6,34:02,.747,.711,.579,.211,3.5,2.4,2.9,38.7,2.9,0.0,16.2,30.8,135,109,14.6
Darius Garland,30:05,6,17,.353,0,5,.000,12,13,.923,0,3,3,7,0,0,6,3,24,+15,30:05,.528,.353,.294,.765,0.0,8.3,4.9,35.5,0.0,0.0,20.9,40.4,103,112,-7.3
Evan Mobley,29:00,6,10,.600,0,1,.000,1,4,.250,5,11,16,2,0,1,5,4,13,+8,29:00,.553,.600,.100,.400,20.7,31.4,27.0,10.7,0.0,3.1,29.8,24.5,91,97,-4.4
Jarrett Allen,27:56,5,7,.714,0,0,,2,2,1.000,5,4,9,3,0,0,2,1,12,+9,27:56,.761,.714,.000,.286,21.5,11.9,15.8,15.9,0.0,0.0,20.2,15.0,142,111,4.9
Caris LeVert,31:53,3,6,.500,0,3,.000,2,2,1.000,0,5,5,2,2,0,1,0,8,+6,31:53,.581,.500,.500,.333,0.0,13.0,7.7,8.3,3.0,0.0,12.7,10.5,118,103,1.2
Georges Niang,25:11,2,6,.333,2,4,.500,0,0,,0,6,6,1,0,0,0,4,6,+1,25:11,.500,.500,.667,.000,0.0,19.7,11.7,5.1,0.0,0.0,0.0,10.1,118,105,-2.5
Dean Wade,12:30,1,3,.333,1,3,.333,0,0,,1,3,4,0,3,0,0,1,3,+8,12:30,.500,.500,1.000,.000,9.6,19.9,15.7,0.0,11.6,0.0,0.0,10.2,125,79,12.2
Tristan Thompson,11:07,1,2,.500,0,0,,1,3,.333,1,4,5,0,0,1,0,2,3,+2,11:07,.452,.500,.000,1.500,10.8,29.8,22.0,0.0,0.0,8.1,0.0,12.7,109,95,-1.9
Damian Jones,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,1:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-4.6
Sam Merrill,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,1:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-5.5
Team Totals,240,41,83,.494,11,37,.297,22,28,.786,13,41,54,26,8,2,18,21,115,,240,.603,.560,.446,.337,32.5,70.7,55.1,63.4,8.1,3.8,15.9,100.0,116.3,105.2,
