Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,37:20,8,18,.444,0,1,.000,6,6,1.000,1,4,5,6,0,0,6,5,22,-15,37:20,.533,.444,.056,.333,4.0,13.9,9.3,26.0,0.0,0.0,22.5,30.3,94,119,-5.3
Franz Wagner,33:15,5,13,.385,1,4,.250,1,2,.500,0,5,5,4,1,0,1,3,12,-13,33:15,.432,.423,.308,.154,0.0,19.5,10.5,17.6,1.4,0.0,6.7,19.0,92,115,-3.0
Anthony Black,32:38,3,7,.429,2,4,.500,0,0,,2,3,5,2,0,0,1,2,8,-13,32:38,.571,.571,.571,.000,9.2,11.9,10.7,8.3,0.0,0.0,12.5,10.4,113,120,-1.4
Jalen Suggs,24:14,4,12,.333,1,6,.167,1,2,.500,1,3,4,7,1,1,4,3,10,-6,24:14,.388,.375,.500,.167,6.2,16.1,11.5,43.2,1.9,4.7,23.7,29.6,80,111,-2.4
Goga Bitadze,21:56,3,5,.600,0,1,.000,1,1,1.000,2,4,6,0,2,1,1,3,7,0,21:56,.643,.600,.200,.200,13.7,23.7,19.0,0.0,4.3,5.2,15.5,12.5,116,105,1.1
Cole Anthony,29:32,7,13,.538,2,5,.400,3,5,.600,0,2,2,5,1,2,3,3,19,-14,29:32,.625,.615,.385,.385,0.0,8.8,4.7,28.4,1.6,7.7,16.5,26.2,109,111,7.3
Moritz Wagner,26:04,8,13,.615,1,4,.250,2,2,1.000,0,5,5,0,1,0,2,3,19,-15,26:04,.684,.654,.308,.154,0.0,24.9,13.3,0.0,1.8,0.0,12.6,25.9,111,114,2.1
Joe Ingles,21:29,1,2,.500,0,0,,0,0,,0,5,5,3,0,0,2,1,2,+3,21:29,.500,.500,.000,.000,0.0,30.2,16.2,17.7,0.0,0.0,50.0,7.9,75,118,-6.8
Caleb Houstan,13:32,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,-2,13:32,.750,.750,1.000,.000,0.0,9.6,5.1,0.0,0.0,0.0,0.0,6.3,139,120,-1.6
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chuma Okeke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,85,.471,8,27,.296,14,18,.778,6,32,38,27,6,4,20,24,102,,240,.549,.518,.318,.212,18.8,86.5,55.1,67.5,5.9,9.5,17.7,100.0,99.8,114.5,
