Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,34:22,2,11,.182,1,6,.167,5,5,1.000,0,7,7,3,3,0,4,2,10,-7,34:22,.379,.227,.545,.455,0.0,23.3,12.4,12.6,4.5,0.0,23.3,23.5,71,108,-6.2
Kawhi Leonard,31:34,8,16,.500,2,6,.333,0,0,,2,3,5,3,0,0,0,2,18,-12,31:34,.563,.563,.375,.000,8.2,10.9,9.6,19.1,0.0,0.0,0.0,23.8,124,124,3.0
James Harden,31:22,6,9,.667,2,4,.500,3,3,1.000,0,3,3,6,1,0,2,2,17,-18,31:22,.824,.778,.444,.333,0.0,10.9,5.8,34.2,1.6,0.0,16.2,18.5,147,120,8.5
Russell Westbrook,31:14,8,13,.615,1,3,.333,0,0,,0,4,4,4,0,0,4,2,17,-7,31:14,.654,.654,.231,.000,0.0,14.6,7.8,25.9,0.0,0.0,23.5,25.6,102,122,-1.5
Ivica Zubac,29:53,3,3,1.000,0,0,,2,4,.500,4,3,7,0,1,2,5,3,8,-18,29:53,.840,1.000,.000,1.333,17.4,11.5,14.2,0.0,1.7,5.6,51.2,15.4,88,118,-4.6
Norman Powell,22:21,5,7,.714,4,6,.667,0,0,,0,1,1,0,0,1,3,1,14,-6,22:21,1.000,1.000,.857,.000,0.0,5.1,2.7,0.0,0.0,3.8,30.0,21.0,110,125,6.9
Bones Hyland,22:09,2,9,.222,1,4,.250,0,0,,0,1,1,4,1,0,3,2,5,-5,22:09,.278,.278,.444,.000,0.0,5.2,2.7,27.4,2.3,0.0,25.0,25.5,62,122,-12.7
P.J. Tucker,11:15,0,2,.000,0,2,.000,2,2,1.000,1,0,1,0,1,0,0,1,2,-9,11:15,.347,.000,1.000,1.000,11.5,0.0,5.4,0.0,4.6,0.0,0.0,12.0,98,119,-2.9
Mason Plumlee,10:50,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,1,0,2,+10,10:50,1.000,1.000,.000,.000,0.0,21.1,11.2,14.0,4.8,0.0,50.0,8.7,102,108,5.7
Moussa Diabaté,6:08,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-2,6:08,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,228,129,9.9
Kobe Brown,4:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2,4:25,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0,129,-14.6
Amir Coffey,4:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,4:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-4.5
Team Totals,240,36,73,.493,11,32,.344,14,16,.875,7,24,31,21,8,3,22,15,97,,240,.606,.568,.438,.219,18.9,57.1,39.2,58.3,8.6,5.3,21.6,100.0,104.0,119.0,
