Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,36:37,9,21,.429,3,8,.375,6,6,1.000,2,8,10,3,0,0,6,3,27,+2,36:37,.571,.500,.381,.286,6.2,28.3,16.6,13.5,0.0,0.0,20.2,33.8,106,108,-2.6
Jalen Brunson,35:12,2,12,.167,1,3,.333,2,2,1.000,2,1,3,6,3,0,4,1,7,-1,35:12,.272,.208,.250,.167,6.5,3.7,5.2,21.4,4.4,0.0,23.7,20.0,78,103,-7.5
Mitchell Robinson,34:48,6,10,.600,0,0,,1,1,1.000,9,6,15,0,4,0,0,2,13,+4,34:48,.623,.600,.000,.100,29.6,22.4,26.2,0.0,5.9,0.0,0.0,12.5,158,96,6.6
RJ Barrett,30:43,9,16,.563,2,4,.500,6,6,1.000,1,5,6,4,0,0,5,1,26,+13,30:43,.697,.625,.250,.375,3.7,21.1,11.9,23.2,0.0,0.0,21.2,32.1,121,110,4.7
Quentin Grimes,20:47,1,4,.250,1,4,.250,0,0,,0,1,1,0,1,0,1,1,3,-6,20:47,.375,.375,1.000,.000,0.0,6.2,2.9,0.0,2.5,0.0,20.0,10.0,70,107,-7.2
Josh Hart,32:12,4,9,.444,1,4,.250,1,1,1.000,0,3,3,7,2,0,2,2,10,+13,32:12,.530,.500,.444,.111,0.0,12.1,5.7,29.8,3.2,0.0,17.5,14.8,121,104,4.8
Immanuel Quickley,20:18,3,5,.600,1,3,.333,0,0,,0,1,1,5,0,0,0,0,7,+22,20:18,.700,.700,.600,.000,0.0,6.4,3.0,34.9,0.0,0.0,0.0,10.3,176,112,7.1
Donte DiVincenzo,16:11,4,6,.667,3,5,.600,1,2,.500,2,4,6,1,1,1,1,1,12,+13,16:11,.872,.917,.833,.333,14.1,32.1,22.5,10.2,3.2,7.2,12.7,20.3,151,96,21.6
Isaiah Hartenstein,13:12,3,5,.600,0,0,,0,0,,2,1,3,2,2,0,0,2,6,+10,13:12,.600,.600,.000,.000,17.3,9.8,13.8,24.2,7.8,0.0,0.0,15.8,155,94,12.4
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
