Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Derrick White,37:34,6,18,.333,3,11,.273,4,4,1.000,1,3,4,5,2,1,2,3,19,+2,37:34,.481,.417,.611,.222,2.4,8.3,5.2,22.5,2.6,2.1,9.2,25.0,98,107,2.3
Jayson Tatum,37:05,6,14,.429,2,6,.333,2,3,.667,1,14,15,6,3,0,2,2,16,-1,37:05,.522,.500,.429,.214,2.4,39.4,19.6,27.5,3.9,0.0,11.5,20.1,104,96,6.7
Jaylen Brown,35:32,4,13,.308,2,7,.286,1,2,.500,0,2,2,2,1,1,4,2,11,-3,35:32,.396,.385,.538,.154,0.0,5.9,2.7,8.8,1.4,2.2,22.4,21.7,63,111,-8.9
Jrue Holiday,34:45,4,9,.444,2,3,.667,2,2,1.000,1,4,5,5,1,0,2,1,12,+13,34:45,.607,.556,.333,.222,2.6,12.0,7.0,22.7,1.4,0.0,16.8,14.7,113,110,2.1
Kristaps Porziņģis,31:04,10,19,.526,2,6,.333,7,8,.875,4,2,6,3,0,1,0,4,29,+8,31:04,.644,.579,.316,.421,11.7,6.7,9.4,22.6,0.0,2.5,0.0,31.2,138,113,12.6
Al Horford,26:13,1,6,.167,1,6,.167,0,0,,0,5,5,3,0,2,1,1,3,-23,26:13,.250,.250,1.000,.000,0.0,19.9,9.2,16.1,0.0,6.0,14.3,11.5,64,107,-3.2
Sam Hauser,18:40,5,8,.625,3,6,.500,0,0,,0,4,4,0,1,1,0,0,13,-6,18:40,.813,.813,.750,.000,0.0,22.4,10.4,0.0,2.6,4.2,0.0,18.5,140,101,16.3
Payton Pritchard,16:01,0,4,.000,0,2,.000,0,0,,2,0,2,4,0,0,1,0,0,-2,16:01,.000,.000,.500,.000,11.3,0.0,6.1,33.3,0.0,0.0,20.0,13.5,63,117,-9.0
Luke Kornet,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,3:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,117,-7.9
Dalano Banton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lamar Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,91,.396,15,47,.319,16,19,.842,9,34,43,28,8,6,12,13,103,,240,.518,.478,.516,.209,17.0,73.9,43.4,77.8,8.0,9.8,10.8,100.0,103.6,106.6,
