Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Desmond Bane,36:01,4,16,.250,2,8,.250,5,6,.833,0,5,5,3,1,2,1,3,15,-18,36:01,.402,.313,.500,.375,0.0,19.6,8.1,13.5,1.4,5.4,5.1,22.7,93,110,-1.6
Jaren Jackson Jr.,33:02,9,18,.500,2,8,.250,8,10,.800,2,2,4,2,0,1,1,5,28,-5,33:02,.625,.556,.444,.556,6.1,8.5,7.1,13.3,0.0,3.0,4.3,29.5,131,117,7.5
Marcus Smart,32:06,4,14,.286,0,3,.000,3,4,.750,0,4,4,7,2,0,3,4,11,-17,32:06,.349,.286,.214,.286,0.0,17.6,7.3,36.1,3.1,0.0,16.0,24.3,81,109,-6.7
Bismack Biyombo,29:49,4,4,1.000,0,0,,1,2,.500,6,4,10,0,1,0,1,4,9,-16,29:49,.922,1.000,.000,.500,20.1,18.9,19.6,0.0,1.6,0.0,17.0,8.2,162,112,0.5
Ziaire Williams,20:50,1,9,.111,0,5,.000,0,0,,1,1,2,0,2,0,1,2,2,-10,20:50,.111,.111,.556,.000,4.8,6.8,5.6,0.0,4.7,0.0,10.0,20.0,30,108,-15.9
Luke Kennard,27:25,4,7,.571,3,6,.500,2,2,1.000,0,2,2,3,1,0,3,1,13,+7,27:25,.825,.786,.857,.286,0.0,10.3,4.3,18.8,1.8,0.0,27.6,16.5,119,114,3.5
Santi Aldama,26:02,5,14,.357,2,4,.500,0,2,.000,2,6,8,0,2,1,1,4,12,+7,26:02,.403,.429,.286,.143,7.7,32.5,18.0,0.0,3.8,3.8,6.3,25.4,84,102,-2.3
Jacob Gilyard,14:41,2,3,.667,2,3,.667,0,0,,0,0,0,4,0,0,0,1,6,+10,14:41,1.000,1.000,1.000,.000,0.0,0.0,0.0,45.9,0.0,0.0,0.0,8.5,211,121,9.5
David Roddy,12:55,1,2,.500,0,0,,2,2,1.000,2,1,3,0,1,0,2,2,4,+10,12:55,.694,.500,.000,1.000,15.5,10.9,13.6,0.0,3.8,0.0,41.0,15.7,96,109,-4.5
Kenneth Lofton Jr.,7:06,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,1,2,+2,7:06,.333,.333,.000,.000,0.0,0.0,0.0,23.9,0.0,0.0,0.0,17.6,88,121,-7.5
GG Jackson II,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake LaRavia,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Vince Williams Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,90,.389,11,37,.297,21,28,.750,13,25,38,20,10,4,13,27,102,,240,.498,.450,.411,.311,27.1,73.5,46.3,57.1,10.2,8.2,11.3,100.0,104.5,110.7,
