Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,31:37,11,25,.440,1,6,.167,1,1,1.000,0,3,3,6,0,0,2,1,24,-24,31:37,.472,.460,.240,.040,0.0,12.3,5.2,47.2,0.0,0.0,7.3,34.8,96,124,1.5
Dyson Daniels,31:03,3,10,.300,1,3,.333,0,0,,1,2,3,5,4,0,3,2,7,-26,31:03,.350,.350,.300,.000,3.0,8.4,5.3,24.6,6.0,0.0,23.1,16.8,72,110,-0.6
Jordan Hawkins,30:17,4,11,.364,2,5,.400,4,4,1.000,0,1,1,1,0,0,2,5,14,-19,30:17,.549,.455,.455,.364,0.0,4.3,1.8,5.3,0.0,0.0,13.6,19.5,98,125,-6.7
Jeremiah Robinson-Earl,27:59,3,7,.429,1,2,.500,4,4,1.000,3,6,9,1,0,0,2,2,11,-18,27:59,.628,.500,.286,.571,10.1,27.8,17.5,5.6,0.0,0.0,18.6,15.4,115,121,-1.6
Jonas Valančiūnas,22:06,4,9,.444,0,2,.000,0,0,,1,5,6,0,0,0,0,1,8,-29,22:06,.444,.444,.222,.000,4.3,29.4,14.8,0.0,0.0,0.0,0.0,16.3,94,121,-5.9
Matt Ryan,26:05,2,5,.400,2,4,.500,6,6,1.000,0,4,4,1,0,0,5,4,12,-4,26:05,.785,.600,.800,1.200,0.0,19.9,8.4,5.7,0.0,0.0,39.6,19.4,94,122,-6.9
Kira Lewis Jr.,18:58,1,7,.143,0,1,.000,0,0,,1,2,3,2,0,0,1,2,2,+7,18:58,.143,.143,.143,.000,5.0,13.7,8.6,15.1,0.0,0.0,12.5,16.9,46,123,-15.3
Larry Nance Jr.,18:03,3,7,.429,0,1,.000,0,0,,2,1,3,0,2,0,1,1,6,-11,18:03,.429,.429,.143,.000,10.4,7.2,9.1,0.0,5.2,0.0,12.5,17.8,84,112,-3.2
Dereon Seabron,16:57,3,7,.429,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,1,9,+5,16:57,.571,.500,.286,.286,5.6,15.3,9.7,10.3,0.0,0.0,0.0,18.6,126,123,1.8
Cody Zeller,12:00,1,2,.500,0,0,,2,3,.667,2,3,5,6,0,0,0,3,4,+8,12:00,.602,.500,.000,1.500,15.7,32.4,22.7,75.0,0.0,0.0,0.0,11.1,166,120,19.4
E.J. Liddell,4:54,1,3,.333,0,2,.000,2,2,1.000,0,0,0,0,0,1,1,1,4,+6,4:54,.515,.333,.667,.667,0.0,0.0,0.0,0.0,0.0,21.8,20.5,39.9,85,111,-6.7
Zion Williamson,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,36,93,.387,8,28,.286,21,22,.955,11,29,40,23,6,1,17,23,101,,240,.492,.430,.301,.237,21.6,78.4,45.5,63.9,5.9,2.2,14.2,100.0,98.7,119.2,
