Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,39:39,11,14,.786,0,0,,5,7,.714,7,4,11,9,1,1,6,4,27,-5,39:39,.790,.786,.000,.500,21.3,12.7,17.1,45.7,1.2,2.1,26.0,24.3,130,111,8.8
Kevin Huerter,39:24,5,13,.385,4,9,.444,3,3,1.000,0,5,5,4,2,0,3,2,17,+2,39:24,.594,.538,.692,.231,0.0,16.0,7.8,15.7,2.5,0.0,17.3,18.4,110,110,-0.4
Harrison Barnes,35:55,5,8,.625,2,5,.400,0,0,,1,4,5,0,1,0,1,3,12,-1,35:55,.750,.750,.625,.000,3.4,14.1,8.6,0.0,1.4,0.0,11.1,10.5,127,112,-2.5
Keegan Murray,31:12,4,17,.235,1,6,.167,0,0,,2,5,7,3,1,2,1,3,9,+8,31:12,.265,.265,.353,.000,7.7,20.2,13.8,14.9,1.6,5.2,5.6,24.1,75,106,-10.3
Keon Ellis,21:16,1,3,.333,0,2,.000,2,3,.667,0,4,4,0,3,0,2,1,4,-4,21:16,.463,.333,.667,1.000,0.0,23.7,11.6,0.0,6.9,0.0,31.6,12.4,66,99,-4.8
Malik Monk,29:52,4,16,.250,0,7,.000,15,19,.789,2,4,6,10,1,0,5,0,23,+8,29:52,.472,.250,.438,1.188,8.1,16.9,12.4,52.3,1.6,0.0,17.0,41.1,107,112,-0.3
Davion Mitchell,27:30,6,9,.667,3,4,.750,1,1,1.000,0,0,0,4,0,0,2,4,16,+3,27:30,.847,.833,.444,.111,0.0,0.0,0.0,26.2,0.0,0.0,17.5,17.4,137,117,2.2
Kessler Edwards,16:14,0,1,.000,0,1,.000,0,0,,0,4,4,1,0,1,1,4,0,+4,16:14,.000,.000,1.000,.000,0.0,31.1,15.2,8.0,0.0,5.0,50.0,5.2,30,108,-10.5
Alex Len,13:08,4,4,1.000,0,0,,2,5,.400,3,3,6,1,1,2,0,1,10,+8,13:08,.806,1.000,.000,1.250,27.5,28.8,28.2,16.2,3.7,12.4,0.0,19.7,164,94,19.6
Chris Duarte,10:48,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,0,2,3,-8,10:48,.375,.375,.750,.000,0.0,23.4,11.4,0.0,4.5,0.0,0.0,15.5,87,104,-6.7
Jordan Ford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Colby Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JaVale McGee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Filip Petrušev,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sasha Vezenkov,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,41,89,.461,11,37,.297,28,38,.737,15,35,50,32,11,6,21,24,121,,265,.572,.522,.416,.427,34.1,83.3,58.1,78.0,10.2,9.2,16.6,100.0,111.7,108.9,
