Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,35:18,8,16,.500,3,5,.600,5,6,.833,5,4,9,0,1,1,1,1,24,-12,35:18,.644,.594,.313,.375,14.2,12.1,13.2,0.0,1.3,2.3,5.1,21.4,138,127,4.1
Jordan Clarkson,33:56,12,26,.462,1,3,.333,8,8,1.000,2,1,3,5,1,1,6,3,33,-5,33:56,.559,.481,.115,.308,5.9,3.1,4.6,25.2,1.3,2.4,16.9,40.2,107,129,-1.3
Keyonte George,30:52,3,8,.375,1,3,.333,0,0,,0,2,2,9,0,0,1,2,7,-11,30:52,.438,.438,.375,.000,0.0,6.9,3.3,34.7,0.0,0.0,11.1,11.2,121,133,-2.5
John Collins,27:28,6,9,.667,1,2,.500,1,1,1.000,1,8,9,1,0,0,2,3,14,-7,27:28,.742,.722,.222,.111,3.6,31.1,16.9,5.1,0.0,0.0,17.5,16.0,124,126,-1.0
Ochai Agbaji,25:57,1,3,.333,1,3,.333,0,0,,1,3,4,1,0,1,3,0,3,-3,25:57,.500,.500,1.000,.000,3.9,12.3,8.0,4.3,0.0,3.1,50.0,8.9,62,129,-6.3
Kelly Olynyk,20:37,2,4,.500,0,2,.000,0,0,,1,4,5,0,1,0,2,5,4,-19,20:37,.500,.500,.500,.000,4.9,20.7,12.5,0.0,2.2,0.0,33.3,11.2,72,123,-12.9
Talen Horton-Tucker,19:39,3,8,.375,0,1,.000,0,0,,2,2,4,5,0,1,4,1,6,+2,19:39,.375,.375,.125,.000,10.2,10.9,10.5,32.4,0.0,4.1,33.3,23.5,79,129,-8.3
Simone Fontecchio,18:18,4,8,.500,2,5,.400,0,0,,3,2,5,1,0,1,2,2,10,-15,18:18,.625,.625,.625,.000,16.4,11.7,14.1,7.6,0.0,4.4,20.0,21.0,112,129,0.8
Collin Sexton,15:59,3,9,.333,1,2,.500,3,3,1.000,0,2,2,2,0,0,0,0,10,-7,15:59,.484,.389,.222,.333,0.0,13.3,6.5,16.7,0.0,0.0,0.0,24.8,121,131,-2.0
Kris Dunn,11:55,3,5,.600,1,1,1.000,0,0,,1,3,4,2,0,0,0,0,7,-3,11:55,.700,.700,.200,.000,8.4,26.9,17.3,24.5,0.0,0.0,0.0,16.1,161,127,8.7
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,96,.469,11,27,.407,17,18,.944,16,31,47,26,3,5,21,17,118,,240,.568,.526,.281,.188,33.3,68.9,50.5,57.8,2.9,8.3,16.8,100.0,112.5,127.8,
