Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,34:08,7,14,.500,1,3,.333,2,4,.500,4,4,8,4,1,0,5,4,17,-5,34:08,.539,.536,.214,.286,12.2,15.2,13.6,17.5,1.4,0.0,24.1,23.5,101,120,-4.1
Jalen Suggs,30:43,7,10,.700,4,5,.800,3,6,.500,0,2,2,1,6,0,2,5,21,+1,30:43,.831,.900,.500,.600,0.0,8.4,3.8,5.0,9.1,0.0,13.7,18.4,143,104,13.6
Franz Wagner,28:54,5,12,.417,0,1,.000,2,2,1.000,2,5,7,3,0,0,4,2,12,-16,28:54,.466,.417,.083,.167,7.2,22.4,14.0,14.8,0.0,0.0,23.7,22.5,91,122,-9.0
Markelle Fultz,28:33,5,12,.417,0,0,,3,3,1.000,2,0,2,3,1,0,1,1,13,-2,28:33,.488,.417,.000,.250,7.3,0.0,4.1,15.0,1.6,0.0,7.0,19.4,120,123,-1.9
Goga Bitadze,21:29,5,7,.714,0,0,,2,4,.500,2,3,5,0,0,2,1,2,12,+7,21:29,.685,.714,.000,.571,9.7,18.1,13.5,0.0,0.0,9.7,10.2,17.5,131,117,1.1
Cole Anthony,23:14,1,7,.143,0,4,.000,5,6,.833,1,1,2,2,0,0,3,3,7,-3,23:14,.363,.143,.571,.857,4.5,5.6,5.0,10.3,0.0,0.0,23.7,21.0,78,125,-14.9
Moritz Wagner,20:02,5,9,.556,2,4,.500,1,1,1.000,1,6,7,0,0,0,2,2,13,-8,20:02,.689,.667,.444,.111,5.2,38.9,20.2,0.0,0.0,0.0,17.5,22.0,120,119,-0.7
Joe Ingles,17:54,1,6,.167,1,3,.333,0,0,,2,1,3,5,3,1,0,1,3,+27,17:54,.250,.250,.500,.000,11.7,7.2,9.7,34.1,7.8,5.8,0.0,12.9,118,104,11.0
Anthony Black,17:28,3,4,.750,1,2,.500,2,2,1.000,2,1,3,1,1,1,1,3,9,-3,17:28,.922,.875,.500,.500,11.9,7.4,9.9,8.1,2.7,6.0,17.0,13.0,163,115,9.4
Jonathan Isaac,15:47,3,8,.375,1,4,.250,5,7,.714,1,6,7,0,0,2,0,1,12,-2,15:47,.542,.438,.500,.875,6.6,49.3,25.6,0.0,0.0,13.2,0.0,27.1,132,109,4.6
Chuma Okeke,1:48,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-1,1:48,.000,.000,1.000,.000,58.0,0.0,32.1,0.0,0.0,0.0,0.0,21.4,65,127,-19.3
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jett Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,90,.467,10,27,.370,25,35,.714,18,29,47,19,12,6,19,24,119,,240,.565,.522,.300,.389,39.1,78.4,56.6,45.2,11.6,13.0,15.3,100.0,115.1,116.1,
