Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,29:08,3,6,.500,2,3,.667,6,6,1.000,0,5,5,3,2,0,2,0,14,-6,29:08,.810,.667,.500,1.000,0.0,19.2,9.4,13.0,3.4,0.0,18.8,14.9,148,141,4.5
Kawhi Leonard,29:05,8,15,.533,2,4,.500,8,8,1.000,1,2,3,4,0,0,2,2,26,-8,29:05,.702,.600,.267,.533,3.7,7.7,5.6,22.2,0.0,0.0,9.7,28.7,148,153,6.0
Paul George,22:37,3,12,.250,1,7,.143,1,1,1.000,0,3,3,2,1,0,2,3,8,-14,22:37,.322,.292,.583,.083,0.0,14.8,7.2,11.6,2.2,0.0,13.9,26.0,77,146,-15.8
Ivica Zubac,22:02,5,9,.556,0,0,,2,4,.500,5,3,8,1,0,2,1,3,12,+1,22:02,.558,.556,.000,.444,24.2,15.2,19.8,6.8,0.0,7.8,8.5,21.7,129,146,-2.1
Russell Westbrook,20:27,5,11,.455,0,1,.000,4,5,.800,2,3,5,2,3,0,2,1,14,-26,20:27,.530,.455,.091,.455,10.4,16.4,13.3,15.0,7.2,0.0,13.2,30.3,115,133,3.2
Terance Mann,29:04,5,8,.625,1,3,.333,0,0,,3,3,6,3,0,0,0,4,11,-10,29:04,.688,.688,.375,.000,11.0,11.5,11.3,14.3,0.0,0.0,0.0,11.2,168,152,1.3
Bones Hyland,28:45,5,9,.556,1,5,.200,6,6,1.000,1,3,4,6,1,0,2,5,17,+8,28:45,.730,.611,.556,.667,3.7,11.6,7.6,28.9,1.7,0.0,14.7,19.3,149,148,3.3
Moussa Diabaté,15:50,4,6,.667,0,0,,3,4,.750,6,3,9,0,0,0,0,3,11,+2,15:50,.709,.667,.000,.667,40.4,21.2,31.0,0.0,0.0,0.0,0.0,20.0,171,148,2.3
Amir Coffey,12:55,2,6,.333,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,1,6,+8,12:55,.436,.333,.333,.333,0.0,17.3,8.4,0.0,0.0,0.0,0.0,21.7,112,150,-12.0
Kobe Brown,12:44,3,4,.750,1,1,1.000,0,0,,1,0,1,0,0,0,1,2,7,+10,12:44,.875,.875,.250,.000,8.4,0.0,4.3,0.0,0.0,0.0,20.0,16.0,137,156,-1.4
Norman Powell,11:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-35,11:08,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,11.0,0,156,-22.3
P.J. Tucker,6:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-20,6:10,.000,.000,1.000,.000,0.0,18.1,8.8,0.0,0.0,0.0,0.0,6.6,0,149,-18.3
Team Totals,240,43,88,.489,8,27,.296,32,36,.889,19,28,47,21,7,2,14,27,126,,240,.607,.534,.307,.409,42.2,65.1,53.4,48.8,7.2,3.6,11.9,100.0,129.3,147.7,
