Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LeBron James,36:23,11,17,.647,3,4,.750,7,11,.636,1,10,11,6,1,1,4,1,32,+2,36:23,.733,.735,.235,.647,3.0,25.9,15.3,28.8,1.3,2.3,15.5,31.0,128,116,9.3
Anthony Davis,36:02,5,14,.357,0,0,,8,8,1.000,4,7,11,4,0,1,1,3,18,-5,36:02,.514,.357,.000,.571,12.1,18.3,15.4,15.1,0.0,2.3,5.4,22.4,123,122,-3.0
Taurean Prince,32:44,3,8,.375,0,4,.000,1,2,.500,0,1,1,0,0,2,0,4,7,+3,32:44,.394,.375,.500,.250,0.0,2.9,1.5,0.0,0.0,5.1,0.0,11.8,81,127,-10.2
D'Angelo Russell,28:52,6,12,.500,0,3,.000,7,9,.778,0,3,3,9,0,1,1,4,19,+1,28:52,.595,.500,.250,.750,0.0,9.8,5.3,46.7,0.0,2.9,5.9,25.6,135,125,2.6
Cam Reddish,27:43,5,10,.500,5,8,.625,2,2,1.000,1,2,3,0,3,0,0,3,17,+7,27:43,.781,.750,.800,.200,3.9,6.8,5.5,0.0,5.2,0.0,0.0,17.1,152,116,9.1
Austin Reaves,35:24,6,11,.545,2,4,.500,1,1,1.000,0,1,1,7,1,0,2,1,15,-2,35:24,.656,.636,.364,.091,0.0,2.7,1.4,28.0,1.4,0.0,14.9,16.6,125,127,0.4
Rui Hachimura,20:27,3,6,.500,1,3,.333,0,1,.000,0,3,3,1,4,1,1,3,7,+6,20:27,.543,.583,.500,.167,0.0,13.8,7.4,6.7,9.5,4.1,13.4,15.9,93,101,4.0
Christian Wood,17:36,2,5,.400,1,1,1.000,0,0,,3,6,9,0,0,1,1,0,5,+8,17:36,.500,.500,.200,.000,18.6,32.1,25.8,0.0,0.0,4.8,16.7,14.9,107,115,-4.1
Jaxson Hayes,4:46,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-5,4:46,1.000,1.000,.000,.000,0.0,19.7,10.6,0.0,0.0,0.0,50.0,18.3,70,122,-12.0
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Hood-Schifino,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Maxwell Lewis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,84,.500,12,27,.444,26,34,.765,9,34,43,27,9,7,11,20,122,,240,.616,.571,.321,.405,20.5,66.7,45.3,64.3,9.1,12.3,10.0,100.0,122.8,119.8,
