Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,38:36,13,27,.481,4,6,.667,8,10,.800,1,8,9,5,0,0,4,4,38,+8,38:36,.605,.556,.222,.370,2.4,22.6,11.8,24.1,0.0,0.0,11.3,37.0,121,126,4.1
Jusuf Nurkić,32:40,4,8,.500,2,3,.667,4,7,.571,3,6,9,7,1,0,2,3,14,+5,32:40,.632,.625,.375,.875,8.6,20.0,13.9,28.5,1.5,0.0,15.3,16.2,135,123,6.8
Grayson Allen,31:40,4,8,.500,1,4,.250,0,0,,2,7,9,4,1,0,2,6,9,-5,31:40,.563,.563,.500,.000,5.9,24.1,14.4,16.9,1.5,0.0,20.0,12.8,115,122,-3.9
Bradley Beal,31:30,9,17,.529,2,4,.500,4,6,.667,2,2,4,2,2,0,2,4,24,-14,31:30,.611,.588,.235,.353,6.0,6.9,6.4,10.8,3.1,0.0,9.2,27.7,123,122,2.4
Keita Bates-Diop,29:47,4,11,.364,1,6,.167,2,2,1.000,2,3,5,0,2,0,0,0,11,-6,29:47,.463,.409,.545,.182,6.3,11.0,8.5,0.0,3.2,0.0,0.0,16.1,114,121,-2.4
Eric Gordon,27:48,5,9,.556,3,4,.750,0,0,,1,1,2,2,3,0,1,0,13,+3,27:48,.722,.722,.444,.000,3.4,3.9,3.6,10.3,5.2,0.0,10.0,14.5,141,118,8.2
Yuta Watanabe,14:23,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,0,5,3,+6,14:23,.375,.375,.750,.000,6.5,0.0,3.5,0.0,0.0,0.0,0.0,11.2,101,129,-13.7
Drew Eubanks,14:08,1,3,.333,0,0,,0,0,,2,3,5,1,0,1,2,2,2,-6,14:08,.333,.333,.000,.000,13.3,23.2,17.9,8.8,0.0,6.0,40.0,14.3,71,121,-10.9
Josh Okogie,12:39,0,4,.000,0,4,.000,2,2,1.000,2,4,6,1,0,0,0,0,2,+7,12:39,.205,.000,1.000,.500,14.9,34.5,24.0,9.0,0.0,0.0,0.0,15.6,89,124,-8.8
Jordan Goodwin,6:46,1,3,.333,1,3,.333,0,0,,1,1,2,0,0,0,0,0,3,-13,6:46,.500,.500,1.000,.000,13.9,16.1,14.9,0.0,0.0,0.0,0.0,17.9,126,127,-0.9
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nassir Little,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chimezie Metu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,94,.447,15,37,.405,20,27,.741,17,35,52,22,9,1,13,24,119,,240,.562,.527,.394,.287,33.3,79.5,54.7,52.4,9.1,1.8,10.9,100.0,119.8,122.8,
