Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,37:07,9,21,.429,2,8,.250,8,11,.727,2,5,7,5,2,1,4,1,28,+3,37:07,.542,.476,.381,.524,5.9,14.4,10.2,20.6,2.5,2.2,13.4,33.0,110,103,4.3
Karl-Anthony Towns,34:17,11,21,.524,3,7,.429,4,4,1.000,1,11,12,2,0,0,3,1,29,+1,34:17,.637,.595,.333,.190,3.2,34.2,18.9,10.1,0.0,0.0,11.6,30.9,119,107,5.0
Rudy Gobert,33:44,5,10,.500,0,0,,1,1,1.000,4,6,10,1,1,0,1,3,11,+1,33:44,.527,.500,.000,.100,12.9,19.0,16.0,4.0,1.4,0.0,8.7,13.9,118,106,-2.2
Mike Conley,31:05,3,7,.429,1,3,.333,4,4,1.000,2,1,3,6,0,0,4,3,11,+4,31:05,.628,.500,.429,.571,7.0,3.4,5.2,24.1,0.0,0.0,31.3,16.9,111,112,-3.5
Jaden McDaniels,26:08,5,11,.455,0,2,.000,0,0,,2,3,5,0,2,0,0,6,10,-1,26:08,.455,.455,.182,.000,8.3,12.2,10.3,0.0,3.5,0.0,0.0,17.3,107,102,-4.1
Kyle Anderson,26:18,2,2,1.000,0,0,,2,4,.500,0,5,5,4,1,0,4,1,6,+9,26:18,.798,1.000,.000,2.000,0.0,20.3,10.3,18.6,1.8,0.0,51.5,12.1,88,105,-1.4
Nickeil Alexander-Walker,18:44,3,4,.750,1,1,1.000,2,2,1.000,0,3,3,4,0,1,0,0,9,+11,18:44,.922,.875,.250,.500,0.0,17.1,8.6,29.0,0.0,4.4,0.0,10.7,200,106,15.0
Naz Reid,18:14,3,7,.429,1,3,.333,0,0,,1,2,3,0,0,2,0,1,7,+7,18:14,.500,.500,.429,.000,6.0,11.7,8.9,0.0,0.0,9.1,0.0,15.8,114,103,0.5
Shake Milton,14:22,2,4,.500,2,3,.667,0,1,.000,1,2,3,1,0,0,2,3,6,0,14:22,.676,.750,.750,.250,7.6,14.8,11.3,9.2,0.0,0.0,31.1,18.4,97,109,-3.4
Troy Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Daishen Nix,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,87,.494,10,27,.370,21,27,.778,13,38,51,23,6,4,18,19,117,,240,.592,.552,.310,.310,29.5,84.4,57.3,53.5,5.8,6.9,15.4,100.0,112.9,106.1,
