Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Killian Hayes,38:35,8,17,.471,2,6,.333,5,7,.714,0,5,5,6,2,0,2,1,23,-9,38:35,.573,.529,.353,.412,0.0,13.0,6.6,24.8,2.6,0.0,9.1,24.6,114,115,4.7
Cade Cunningham,35:46,8,18,.444,1,5,.200,4,4,1.000,1,3,4,7,0,0,4,5,21,-5,35:46,.531,.472,.278,.222,2.9,8.4,5.7,32.1,0.0,0.0,16.8,28.6,102,122,-3.6
Ausar Thompson,32:16,6,11,.545,0,1,.000,0,1,.000,3,10,13,4,1,3,2,4,12,+2,32:16,.524,.545,.091,.091,9.7,31.0,20.6,19.1,1.5,8.1,14.9,17.9,105,106,5.1
Isaiah Stewart,31:41,4,10,.400,2,5,.400,0,0,,1,5,6,2,0,1,3,5,10,-16,31:41,.500,.500,.500,.000,3.3,15.8,9.7,8.9,0.0,2.8,23.1,17.6,82,118,-5.9
Jalen Duren,22:42,2,5,.400,0,0,,0,0,,1,3,4,3,0,1,3,1,4,-8,22:42,.400,.400,.000,.000,4.6,13.2,9.0,17.7,0.0,3.8,37.5,15.1,70,118,-6.0
Marcus Sasser,34:36,3,13,.231,1,7,.143,2,2,1.000,0,3,3,4,0,0,0,4,9,-6,34:36,.324,.269,.538,.154,0.0,8.7,4.4,15.5,0.0,0.0,0.0,17.2,85,122,-9.9
Stanley Umude,17:21,1,2,.500,1,2,.500,7,8,.875,0,4,4,1,0,0,0,2,10,-2,17:21,.906,.750,1.000,4.000,0.0,23.1,11.8,7.4,0.0,0.0,0.0,13.7,195,118,8.3
Marvin Bagley III,13:18,3,4,.750,0,0,,0,0,,2,3,5,1,0,0,1,2,6,+2,13:18,.750,.750,.000,.000,15.7,22.6,19.2,12.4,0.0,0.0,20.0,16.2,127,118,1.0
Jared Rhoden,7:11,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,1,1,5,+2,7:11,.833,.833,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.9,97,125,-0.1
James Wiseman,6:34,3,3,1.000,0,0,,0,0,,3,1,4,0,0,0,0,1,6,0,6:34,1.000,1.000,.000,.000,47.7,15.2,31.1,0.0,0.0,0.0,0.0,19.6,207,120,16.6
Malcolm Cazalon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Ivey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Knox,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,86,.465,8,28,.286,18,22,.818,11,37,48,28,3,5,16,26,106,,240,.554,.512,.326,.256,23.9,77.1,51.1,70.0,3.1,9.1,14.3,100.0,108.9,117.1,
