Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Collins,37:53,5,6,.833,3,3,1.000,5,7,.714,0,3,3,0,0,4,3,2,18,+8,37:53,.991,1.083,.500,1.167,0.0,8.6,5.1,0.0,0.0,9.6,24.8,14.2,130,129,-1.2
Lauri Markkanen,37:18,8,13,.615,4,9,.444,6,6,1.000,0,7,7,1,2,2,3,3,26,-1,37:18,.831,.769,.692,.462,0.0,20.5,12.0,4.2,2.6,4.9,16.1,22.3,136,121,2.1
Jordan Clarkson,35:48,9,16,.563,2,5,.400,6,6,1.000,2,2,4,4,2,1,3,1,26,+14,35:48,.697,.625,.313,.375,8.7,6.1,7.2,18.5,2.7,2.5,13.9,26.9,134,127,0.4
Ochai Agbaji,30:20,6,8,.750,3,5,.600,0,0,,1,5,6,1,1,2,1,3,15,+3,30:20,.938,.938,.625,.000,5.1,18.0,12.7,5.0,1.6,6.0,11.1,13.2,158,123,4.9
Keyonte George,29:32,2,12,.167,1,6,.167,2,2,1.000,0,3,3,11,0,1,2,1,7,+1,29:32,.272,.208,.500,.167,0.0,11.1,6.5,47.4,0.0,3.1,13.4,22.4,101,131,-11.6
Kelly Olynyk,20:48,2,3,.667,0,0,,2,2,1.000,2,6,8,2,1,1,2,3,6,+5,20:48,.773,.667,.000,.667,14.9,31.5,24.6,12.7,2.4,4.4,34.0,12.6,129,117,-3.2
Talen Horton-Tucker,18:28,4,7,.571,3,5,.600,2,2,1.000,1,2,3,2,1,1,1,2,13,+5,18:28,.825,.786,.714,.286,8.4,11.8,10.4,17.0,2.7,4.9,11.3,21.4,153,124,7.8
Collin Sexton,17:40,3,8,.375,0,2,.000,4,4,1.000,1,1,2,6,1,0,3,0,10,+3,17:40,.512,.375,.250,.500,8.8,6.2,7.2,49.6,2.8,0.0,23.5,32.2,113,128,-6.9
Simone Fontecchio,12:12,2,3,.667,2,2,1.000,0,0,,1,1,2,1,2,0,1,2,6,-8,12:12,1.000,1.000,.667,.000,12.7,8.9,10.5,11.9,8.1,0.0,25.0,14.6,145,115,9.6
Kris Dunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,76,.539,18,37,.486,27,29,.931,8,30,38,28,10,12,19,17,127,,240,.715,.658,.487,.382,25.8,68.2,50.7,68.3,10.2,22.6,17.6,100.0,130.0,123.8,
