Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,32:33,9,24,.375,4,14,.286,8,8,1.000,1,2,3,2,1,1,4,1,30,-8,32:33,.545,.458,.583,.333,3.0,5.8,4.4,12.4,1.4,2.6,12.7,37.7,104,115,5.1
Andrew Wiggins,29:08,6,12,.500,1,4,.250,0,2,.000,3,2,5,3,0,0,3,2,13,-13,29:08,.505,.542,.333,.167,10.1,6.5,8.2,18.2,0.0,0.0,18.9,21.2,94,120,-2.8
Klay Thompson,27:49,5,16,.313,2,5,.400,2,2,1.000,1,4,5,1,0,1,3,3,14,-7,27:49,.415,.375,.313,.125,3.5,13.5,8.6,6.1,0.0,3.1,15.1,27.8,80,116,-8.2
Kevon Looney,23:59,1,2,.500,0,0,,0,0,,3,10,13,2,0,0,1,5,2,-3,23:59,.500,.500,.000,.000,12.3,39.2,26.0,11.4,0.0,0.0,33.3,4.9,117,110,-2.6
Draymond Green,17:59,3,4,.750,2,3,.667,0,0,,2,3,5,4,0,0,1,3,8,-1,17:59,1.000,1.000,.750,.000,10.9,15.7,13.3,36.8,0.0,0.0,20.0,10.8,167,117,11.3
Chris Paul,26:25,4,7,.571,1,2,.500,0,0,,0,3,3,9,3,0,3,2,9,-12,26:25,.643,.643,.286,.000,0.0,10.7,5.5,55.0,5.3,0.0,30.0,14.7,116,107,8.1
Jonathan Kuminga,20:39,2,7,.286,0,1,.000,8,11,.727,0,3,3,0,0,0,0,4,12,-1,20:39,.507,.286,.143,1.571,0.0,13.7,7.0,0.0,0.0,0.0,0.0,22.3,117,118,-5.4
Moses Moody,17:45,2,4,.500,2,3,.667,2,2,1.000,1,4,5,1,0,0,1,3,8,+2,17:45,.820,.750,.750,.500,5.5,21.2,13.5,8.6,0.0,0.0,17.0,12.9,141,115,3.7
Dario Šarić,16:26,2,5,.400,0,3,.000,1,1,1.000,0,5,5,1,0,1,0,3,5,0,16:26,.460,.400,.600,.200,0.0,28.6,14.6,9.4,0.0,5.2,0.0,12.9,110,110,-1.9
Gary Payton II,11:10,1,4,.250,0,1,.000,1,2,.500,2,3,5,0,0,0,1,0,3,-12,11:10,.307,.250,.250,.500,17.5,25.3,21.5,0.0,0.0,0.0,17.0,20.5,72,115,-9.6
Brandin Podziemski,8:21,1,2,.500,0,0,,0,0,,1,1,2,2,1,0,1,1,2,+5,8:21,.500,.500,.000,.000,11.7,11.3,11.5,36.8,5.6,0.0,33.3,14.0,101,106,6.0
Trayce Jackson-Davis,5:34,0,1,.000,0,0,,1,2,.500,1,0,1,0,0,0,0,1,1,+4,5:34,.266,.000,.000,2.000,17.6,0.0,8.6,0.0,0.0,0.0,0.0,13.2,88,122,-12.8
Cory Joseph,2:12,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,2,1,3,+6,2:12,.750,.750,1.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,50.0,70.8,80,121,-10.2
Team Totals,240,37,90,.411,13,38,.342,23,30,.767,15,40,55,26,5,3,20,29,110,,240,.533,.483,.422,.333,30.6,78.4,55.0,70.3,4.8,5.4,16.2,100.0,106.5,114.3,
