Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LaMelo Ball,32:34,13,20,.650,4,8,.500,2,2,1.000,3,4,7,6,1,1,2,2,32,-32,32:34,.766,.750,.400,.100,9.8,19.0,13.6,35.6,1.6,2.9,8.7,30.4,153,136,19.4
Gordon Hayward,29:06,3,9,.333,0,1,.000,0,0,,0,1,1,2,0,0,2,3,6,-16,29:06,.333,.333,.111,.000,0.0,5.3,2.2,8.4,0.0,0.0,18.2,16.4,70,144,-17.2
Mark Williams,23:28,4,5,.800,0,0,,2,2,1.000,2,2,4,2,2,0,1,3,10,-22,23:28,.850,.800,.000,.400,9.1,13.2,10.8,11.4,4.4,0.0,14.5,12.7,158,132,3.7
P.J. Washington,21:40,1,8,.125,1,5,.200,1,2,.500,1,1,2,3,0,1,2,4,4,-30,21:40,.225,.188,.625,.250,4.9,7.1,5.8,15.9,0.0,4.3,18.4,21.7,64,140,-16.5
Brandon Miller,9:56,5,6,.833,1,2,.500,0,1,.000,1,2,3,0,0,0,0,0,11,+4,9:56,.854,.917,.333,.167,10.7,31.2,19.1,0.0,0.0,0.0,0.0,28.1,163,139,18.3
Théo Maledon,25:00,2,12,.167,2,7,.286,0,0,,2,0,2,4,0,0,2,3,6,-20,25:00,.250,.250,.583,.000,8.5,0.0,5.1,19.1,0.0,0.0,14.3,24.3,75,145,-16.7
JT Thor,23:02,2,6,.333,2,5,.400,0,2,.000,2,2,4,0,0,1,1,4,6,+1,23:02,.436,.500,.833,.333,9.3,13.4,11.0,0.0,0.0,4.1,12.7,14.8,92,139,-10.5
Nick Richards,22:11,7,9,.778,0,0,,2,2,1.000,1,3,4,0,0,0,2,4,16,-6,22:11,.810,.778,.000,.222,4.8,20.9,11.4,0.0,0.0,0.0,16.8,23.2,132,140,-2.8
Bryce McGowens,18:54,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,-6,18:54,.250,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,62,145,-14.3
Ish Smith,17:28,2,4,.500,0,0,,0,0,,1,4,5,2,2,0,0,1,4,-9,17:28,.500,.500,.000,.000,6.1,35.5,18.1,14.3,5.9,0.0,0.0,9.9,135,124,3.0
Nick Smith Jr.,7:44,1,6,.167,1,4,.250,0,0,,0,0,0,2,0,0,0,0,3,+6,7:44,.250,.250,.667,.000,0.0,0.0,0.0,32.8,0.0,0.0,0.0,33.6,82,145,-12.0
Leaky Black,5:39,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,1,5,+13,5:39,1.250,1.250,.500,.000,0.0,54.8,22.4,0.0,0.0,16.7,0.0,15.3,250,123,26.0
Amari Bailey,3:18,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,0,0,2,+7,3:18,.333,.333,.000,.000,64.6,0.0,38.3,0.0,0.0,0.0,0.0,39.4,107,145,-4.1
Team Totals,240,44,94,.468,12,35,.343,7,11,.636,15,21,36,21,5,4,12,25,107,,240,.541,.532,.372,.117,33.3,67.7,47.4,47.7,5.4,7.8,10.8,100.0,114.6,138.1,
