Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyrie Irving,29:01,13,20,.650,7,10,.700,2,2,1.000,1,5,6,7,0,1,1,1,35,+9,29:01,.838,.825,.500,.100,3.4,17.6,10.3,40.6,0.0,3.0,4.6,30.9,162,119,22.4
Luka Dončić,27:59,11,18,.611,4,9,.444,4,5,.800,0,4,4,9,1,0,2,0,30,+14,27:59,.743,.722,.500,.278,0.0,14.6,7.1,49.6,1.6,0.0,9.0,32.5,145,118,16.8
Dereck Lively II,26:16,4,5,.800,0,0,,2,4,.500,1,1,2,0,1,2,1,5,10,+13,26:16,.740,.800,.000,.800,3.7,3.9,3.8,0.0,1.7,6.5,12.9,12.1,128,115,-5.3
Derrick Jones Jr.,21:34,2,6,.333,2,6,.333,1,2,.500,0,1,1,2,0,0,1,0,7,+8,21:34,.509,.500,1.000,.333,0.0,4.7,2.3,9.8,0.0,0.0,12.7,15.0,98,124,-6.1
Grant Williams,21:30,0,4,.000,0,2,.000,0,0,,1,1,2,1,1,2,0,1,0,+19,21:30,.000,.000,.500,.000,4.6,4.8,4.7,4.5,2.1,8.0,0.0,7.6,42,114,-7.9
Tim Hardaway Jr.,28:10,4,14,.286,3,10,.300,4,4,1.000,0,9,9,2,0,0,0,1,15,+14,28:10,.476,.393,.714,.286,0.0,32.6,16.0,7.9,0.0,0.0,0.0,22.9,105,116,-5.8
Josh Green,27:47,5,11,.455,3,7,.429,0,0,,0,2,2,3,2,0,1,1,13,+11,27:47,.591,.591,.636,.000,0.0,7.4,3.6,12.5,3.2,0.0,8.3,17.7,113,116,0.3
Dwight Powell,17:57,3,4,.750,0,0,,1,2,.500,3,7,10,2,1,0,0,4,7,+7,17:57,.717,.750,.000,.500,16.4,39.8,27.9,12.7,2.5,0.0,0.0,11.1,172,107,3.3
Dante Exum,13:05,3,6,.500,0,0,,0,0,,0,1,1,1,1,1,0,2,6,+6,13:05,.500,.500,.000,.000,0.0,7.8,3.8,9.4,3.4,6.6,0.0,18.8,106,110,-2.1
Jaden Hardy,7:01,3,6,.500,1,4,.250,0,0,,1,1,2,2,0,0,0,1,7,-3,7:01,.583,.583,.667,.000,14.0,14.6,14.3,46.4,0.0,0.0,0.0,35.0,135,120,8.3
Olivier-Maxence Prosper,6:03,1,3,.333,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,2,4,-11,6:03,.000,.000,.500,.000,16.2,0.0,8.3,0.0,0.0,0.0,0.0,13.5,47,125,-19.1
Seth Curry,6:03,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-11,6:03,.515,.333,.667,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,110,123,-15.2
Richaun Holmes,3:47,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-8,3:47,1.000,1.000,.000,.000,0.0,27.0,13.2,0.0,0.0,0.0,0.0,10.8,200,116,-1.6
Markieff Morris,3:47,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-8,3:47,.000,.000,1.000,.000,0.0,27.0,13.2,0.0,0.0,0.0,0.0,21.6,0,118,-28.8
Team Totals,240,50,102,.490,20,53,.377,16,21,.762,8,34,42,29,7,6,6,19,136,,240,.611,.588,.520,.206,16.3,72.3,43.8,58.0,6.6,10.7,5.1,100.0,127.8,116.5,
