Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,39:28,13,23,.565,5,12,.417,4,5,.800,1,5,6,7,1,0,3,5,35,+12,39:28,.694,.674,.522,.217,3.7,14.8,9.9,35.2,1.4,0.0,10.6,35.3,135,116,11.7
Jrue Holiday,36:55,5,9,.556,3,5,.600,1,1,1.000,4,3,7,2,0,0,2,2,14,+5,36:55,.742,.722,.556,.111,15.8,9.5,12.3,7.8,0.0,0.0,17.5,15.3,138,122,2.6
Jaylen Brown,36:28,7,18,.389,2,9,.222,6,6,1.000,1,4,5,6,1,1,3,3,22,+17,36:28,.533,.444,.500,.333,4.0,12.8,8.9,25.7,1.6,3.0,12.7,32.1,114,115,0.8
Kristaps Porziņģis,33:25,7,11,.636,3,6,.500,4,4,1.000,1,5,6,3,0,1,1,5,21,+19,33:25,.823,.773,.545,.364,4.4,17.5,11.6,14.4,0.0,3.3,7.3,20.4,160,116,10.1
Derrick White,31:10,1,7,.143,1,3,.333,0,0,,1,1,2,4,1,1,1,2,3,+14,31:10,.214,.214,.429,.000,4.7,3.8,4.2,16.0,1.8,3.5,12.5,12.7,83,118,-5.1
Al Horford,21:45,1,2,.500,0,1,.000,0,0,,0,4,4,0,0,0,1,2,2,+2,21:45,.500,.500,.500,.000,0.0,21.5,11.9,0.0,0.0,0.0,33.3,6.8,61,117,-8.0
Sam Hauser,21:25,4,6,.667,4,6,.667,0,0,,0,4,4,2,0,0,0,0,12,+6,21:25,1.000,1.000,1.000,.000,0.0,21.9,12.1,14.4,0.0,0.0,0.0,13.9,193,117,17.4
Payton Pritchard,19:21,2,3,.667,1,1,1.000,0,0,,0,3,3,3,0,0,0,3,5,+5,19:21,.833,.833,.333,.000,0.0,18.2,10.1,21.2,0.0,0.0,0.0,7.7,188,118,3.7
Dalano Banton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luke Kornet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lamar Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,79,.506,19,43,.442,15,16,.938,8,29,37,27,3,3,11,22,114,,240,.662,.627,.544,.203,24.2,70.7,50.0,67.5,3.6,6.8,11.3,100.0,135.3,116.3,
