Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zach Collins,31:01,6,11,.545,1,4,.250,0,0,,5,3,8,1,0,0,4,3,13,-33,31:01,.591,.591,.364,.000,15.8,13.7,14.9,5.8,0.0,0.0,26.7,19.2,91,122,-6.6
Julian Champagnie,30:44,4,14,.286,3,7,.429,2,2,1.000,1,2,3,3,4,3,2,0,13,-21,30:44,.437,.393,.500,.143,3.2,9.2,5.6,15.7,5.9,9.4,11.8,21.8,90,101,8.0
Victor Wembanyama,28:20,4,15,.267,0,3,.000,0,0,,3,11,14,2,0,2,5,2,8,-31,28:20,.267,.267,.200,.000,10.4,54.8,28.6,11.6,0.0,6.8,25.0,28.0,52,113,-13.2
Jeremy Sochan,27:42,4,11,.364,1,1,1.000,0,0,,1,2,3,5,0,0,3,2,9,-31,27:42,.409,.409,.091,.000,3.5,10.2,6.3,29.8,0.0,0.0,21.4,20.1,81,122,-5.7
Devin Vassell,24:41,5,12,.417,1,2,.500,1,2,.500,0,3,3,4,2,1,1,1,12,-20,24:41,.466,.458,.167,.167,0.0,17.2,7.0,29.6,3.7,3.9,7.2,22.3,100,110,4.9
Malaki Branham,25:43,5,13,.385,0,4,.000,1,2,.500,1,1,2,0,1,0,3,2,11,-23,25:43,.396,.385,.308,.154,3.8,5.5,4.5,0.0,1.8,0.0,17.8,26.0,68,119,-11.9
Doug McDermott,18:07,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,4,0,5,-18,18:07,.625,.625,.500,.000,0.0,7.8,3.2,8.6,0.0,0.0,50.0,17.5,58,123,-12.5
Devonte' Graham,17:03,1,3,.333,0,2,.000,2,3,.667,0,1,1,7,0,0,2,2,4,+5,17:03,.463,.333,.667,1.000,0.0,8.3,3.4,59.4,0.0,0.0,31.6,14.7,100,122,-2.8
Charles Bassey,16:50,3,5,.600,0,0,,0,0,,2,5,7,1,0,0,0,1,6,-3,16:50,.600,.600,.000,.000,11.6,41.9,24.0,10.4,0.0,0.0,0.0,11.8,135,120,0.6
Cedi Osman,14:37,2,5,.400,2,5,.400,0,0,,0,0,0,0,0,0,0,0,6,-7,14:37,.600,.600,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,120,123,-1.4
Dominick Barlow,5:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2,5:12,,,,,0.0,27.1,11.1,0.0,0.0,0.0,,0.0,0,121,-8.2
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,93,.387,9,30,.300,6,9,.667,13,30,43,24,7,6,24,13,87,,240,.449,.435,.323,.097,26.5,88.2,51.8,66.7,6.6,12.0,19.8,100.0,82.5,116.6,
