Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Karl-Anthony Towns,31:07,10,17,.588,0,4,.000,5,5,1.000,1,6,7,2,0,0,1,3,25,-14,31:07,.651,.588,.235,.294,3.6,31.9,15.0,11.6,0.0,0.0,5.0,28.2,140,149,1.5
Anthony Edwards,30:31,4,16,.250,1,3,.333,4,4,1.000,1,3,4,4,1,1,1,0,13,-29,30:31,.366,.281,.188,.250,3.7,16.3,8.7,17.6,1.7,2.9,5.3,26.7,98,144,-6.5
Rudy Gobert,24:52,2,5,.400,0,0,,0,0,,4,4,8,2,1,2,2,2,4,-25,24:52,.400,.400,.000,.000,18.0,26.6,21.4,10.1,2.1,7.1,28.6,12.2,97,138,-5.8
Jaden McDaniels,22:34,6,10,.600,0,3,.000,1,1,1.000,1,1,2,3,2,0,1,4,13,-5,22:34,.623,.600,.300,.100,4.9,7.3,5.9,21.8,4.6,0.0,8.7,22.1,132,141,2.0
Mike Conley,22:23,5,8,.625,1,3,.333,3,3,1.000,1,1,2,3,0,0,0,0,14,-16,22:23,.751,.688,.375,.375,5.0,7.4,6.0,20.6,0.0,0.0,0.0,18.1,172,151,5.3
Shake Milton,22:44,4,8,.500,0,2,.000,0,0,,1,3,4,0,0,0,0,3,8,+6,22:44,.500,.500,.250,.000,4.9,21.8,11.7,0.0,0.0,0.0,0.0,15.3,119,150,-10.9
Nickeil Alexander-Walker,22:41,3,6,.500,2,5,.400,0,0,,0,0,0,0,0,1,0,1,8,-5,22:41,.667,.667,.833,.000,0.0,0.0,0.0,0.0,0.0,3.9,0.0,11.5,149,148,-3.4
Kyle Anderson,21:27,2,5,.400,0,0,,2,2,1.000,1,1,2,3,2,1,1,0,6,-13,21:27,.510,.400,.000,.400,5.2,7.7,6.2,17.9,4.9,4.1,14.5,14.0,117,136,2.5
Naz Reid,18:48,4,7,.571,1,2,.500,4,4,1.000,2,2,4,0,1,0,0,0,13,-5,18:48,.742,.643,.286,.571,11.9,17.6,14.2,0.0,2.8,0.0,0.0,20.3,170,144,6.9
Troy Brown Jr.,13:49,0,3,.000,0,2,.000,4,4,1.000,1,3,4,1,1,0,0,1,4,+6,13:49,.420,.000,.667,1.333,8.1,35.9,19.3,8.3,3.8,0.0,0.0,15.0,126,140,-3.4
Luka Garza,4:32,1,4,.250,0,1,.000,3,4,.750,2,0,2,0,0,0,0,0,5,+5,4:32,.434,.250,.250,1.000,49.2,0.0,29.4,0.0,0.0,0.0,0.0,55.3,121,152,-8.5
Josh Minott,4:32,1,3,.333,0,2,.000,0,1,.000,1,0,1,0,0,0,0,0,2,+5,4:32,.291,.333,.667,.333,24.6,0.0,14.7,0.0,0.0,0.0,0.0,33.0,84,152,-18.7
Team Totals,240,42,92,.457,5,27,.185,26,28,.929,16,24,40,18,8,5,6,14,115,,240,.551,.484,.293,.304,37.2,82.8,55.6,42.9,8.7,9.3,5.4,100.0,125.7,145.3,
