Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,38:49,13,19,.684,1,1,1.000,2,2,1.000,5,11,16,7,3,1,4,3,29,+20,38:49,.729,.711,.053,.105,13.2,33.2,22.5,27.1,3.5,2.3,16.8,24.9,134,101,10.7
Harrison Barnes,38:45,5,10,.500,3,6,.500,0,0,,0,1,1,2,4,0,2,3,13,+16,38:45,.650,.650,.600,.000,0.0,3.0,1.4,5.9,4.7,0.0,16.7,12.5,107,104,-0.3
De'Aaron Fox,38:20,10,22,.455,3,9,.333,5,7,.714,3,2,5,5,4,0,3,3,28,+15,38:20,.558,.523,.409,.318,8.0,6.1,7.1,17.6,4.7,0.0,10.7,29.7,113,103,2.6
Kevin Huerter,37:35,10,16,.625,6,11,.545,2,2,1.000,0,4,4,7,2,0,0,2,28,+21,37:35,.829,.813,.688,.125,0.0,12.5,5.8,25.4,2.4,0.0,0.0,18.2,172,108,14.5
Keegan Murray,30:47,3,9,.333,2,7,.286,1,2,.500,0,6,6,2,2,0,1,2,9,+13,30:47,.455,.444,.778,.222,0.0,22.8,10.6,7.2,2.9,0.0,9.2,14.3,93,105,-3.9
Malik Monk,20:31,1,8,.125,1,5,.200,0,0,,0,5,5,5,1,0,3,1,3,-6,20:31,.188,.188,.625,.000,0.0,28.5,13.3,25.6,2.2,0.0,27.3,21.7,57,106,-13.8
Sasha Vezenkov,12:23,1,4,.250,0,3,.000,2,2,1.000,0,0,0,0,2,0,0,0,4,-6,12:23,.410,.250,.750,.500,0.0,0.0,0.0,0.0,7.3,0.0,0.0,16.0,93,99,-3.1
Keon Ellis,8:59,0,3,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,2,0,+6,8:59,.000,.000,.667,.000,11.4,13.0,12.1,11.1,0.0,0.0,0.0,13.5,50,113,-18.9
JaVale McGee,8:49,3,3,1.000,0,0,,1,2,.500,2,4,6,1,2,0,2,3,7,-7,8:49,.902,1.000,.000,.667,23.2,53.1,37.1,17.2,10.3,0.0,34.0,27.0,121,84,10.4
Chris Duarte,4:29,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,4,+3,4:29,1.000,1.000,.000,.000,0.0,0.0,0.0,40.3,0.0,0.0,0.0,18.1,207,115,12.9
Kessler Edwards,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,-7.5
Filip Petrušev,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,-7.8
Jalen Slawson,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,115,-7.8
Davion Mitchell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,96,.500,16,44,.364,13,17,.765,11,34,45,31,20,1,15,20,125,,240,.604,.583,.458,.177,23.4,82.9,51.1,64.6,18.9,1.9,12.7,100.0,118.0,103.8,
