Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Max Strus,38:44,7,15,.467,4,8,.500,0,0,,1,6,7,3,4,1,2,1,18,+9,38:44,.600,.600,.533,.000,3.1,14.9,9.6,11.2,5.2,2.2,11.8,20.4,111,97,5.8
Evan Mobley,35:21,8,12,.667,0,0,,2,4,.500,4,6,10,5,1,0,3,4,18,-6,35:21,.654,.667,.000,.333,13.6,16.3,15.1,21.8,1.4,0.0,17.9,22.0,124,106,1.3
Darius Garland,33:38,10,19,.526,2,5,.400,6,8,.750,1,2,3,3,0,0,5,1,28,-6,33:38,.622,.579,.263,.421,3.6,5.7,4.8,15.4,0.0,0.0,18.2,38.0,106,115,-4.5
Jarrett Allen,32:28,4,8,.500,0,0,,2,3,.667,1,6,7,2,0,5,2,1,10,+5,32:28,.536,.500,.000,.375,3.7,17.7,11.5,8.2,0.0,13.2,17.7,16.2,99,103,-1.4
Dean Wade,21:48,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,0,21:48,1.500,1.500,1.000,.000,0.0,4.4,2.4,0.0,0.0,0.0,0.0,2.1,300,116,-3.3
Caris LeVert,32:42,4,14,.286,1,6,.167,1,2,.500,0,1,1,1,2,0,0,0,10,+11,32:42,.336,.321,.429,.143,0.0,2.9,1.6,4.1,3.1,0.0,0.0,21.2,74,109,-10.0
Georges Niang,26:53,3,4,.750,1,1,1.000,2,2,1.000,0,7,7,2,1,0,0,1,9,+21,26:53,.922,.875,.250,.500,0.0,25.0,13.9,9.7,1.9,0.0,0.0,8.4,191,101,5.5
Craig Porter Jr.,15:49,5,9,.556,0,0,,2,2,1.000,0,3,3,5,1,0,0,0,12,+14,15:49,.607,.556,.000,.222,0.0,18.2,10.1,56.6,3.2,0.0,0.0,29.0,140,101,14.3
Emoni Bates,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-7.0
Damian Jones,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-8.9
Sam Merrill,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-9.8
Tristan Thompson,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-8.3
Team Totals,240,42,82,.512,9,21,.429,15,21,.714,7,32,39,21,9,6,12,9,108,,240,.592,.567,.256,.256,17.5,64.0,43.3,50.0,9.5,10.7,11.6,100.0,114.4,105.9,
