Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,39:32,8,20,.400,4,9,.444,4,4,1.000,0,4,4,3,1,0,1,0,24,-13,39:32,.551,.500,.450,.200,0.0,12.1,5.3,13.9,1.3,0.0,4.4,24.0,126,117,4.1
Shaedon Sharpe,38:01,7,17,.412,1,5,.200,2,2,1.000,2,7,9,2,1,1,10,4,17,-5,38:01,.475,.441,.294,.118,4.9,22.1,12.4,9.3,1.3,2.4,35.9,30.6,68,112,-13.0
Deandre Ayton,37:48,8,14,.571,0,0,,1,2,.500,7,5,12,2,2,0,4,4,17,-7,37:48,.571,.571,.000,.143,17.1,15.9,16.6,9.8,2.7,0.0,21.2,20.9,106,112,-2.3
Toumani Camara,35:52,3,8,.375,1,6,.167,3,5,.600,2,4,6,0,2,1,1,3,10,-7,35:52,.490,.438,.750,.625,5.1,13.4,8.7,0.0,2.8,2.6,8.9,13.0,106,111,-2.7
Skylar Mays,25:31,6,14,.429,3,7,.429,0,0,,3,2,5,8,2,0,0,3,15,-10,25:31,.536,.536,.500,.000,10.9,9.4,10.2,60.9,4.0,0.0,0.0,22.9,146,111,15.7
Matisse Thybulle,23:38,2,3,.667,1,2,.500,0,0,,1,3,4,1,2,0,2,1,5,-9,23:38,.833,.833,.667,.000,3.9,15.2,8.8,6.4,4.3,0.0,40.0,8.8,102,109,0.6
Jabari Walker,18:10,2,6,.333,0,2,.000,3,5,.600,2,3,5,1,0,0,0,0,7,+2,18:10,.427,.333,.333,.833,10.2,19.8,14.4,8.6,0.0,0.0,0.0,18.9,113,117,-2.6
Duop Reath,10:12,0,5,.000,0,4,.000,0,0,,1,1,2,0,0,0,0,1,0,-5,10:12,.000,.000,.800,.000,9.0,11.8,10.2,0.0,0.0,0.0,0.0,20.5,13,119,-25.9
Kris Murray,5:29,0,2,.000,0,2,.000,0,0,,1,0,1,0,1,0,0,1,0,-4,5:29,.000,.000,1.000,.000,16.8,0.0,9.5,0.0,9.3,0.0,0.0,15.2,30,101,-10.4
Justin Minaya,4:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,4:36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-7.3
Jamaree Bouyea,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,-8.1
Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ish Wainright,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,36,89,.404,10,37,.270,13,18,.722,19,29,48,17,11,2,18,17,95,,240,.490,.461,.416,.202,36.5,72.5,52.2,47.2,11.6,3.8,15.7,100.0,100.4,113.1,
