Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,26:40,9,14,.643,0,0,,6,7,.857,1,2,3,0,1,2,1,1,24,+28,26:40,.703,.643,.000,.500,4.9,8.0,6.6,0.0,1.7,5.6,5.5,27.0,137,108,7.5
Anthony Black,24:16,1,5,.200,0,2,.000,5,6,.833,0,5,5,1,0,2,2,5,7,-6,24:16,.458,.200,.400,1.200,0.0,22.0,12.1,4.8,0.0,6.2,20.7,15.8,83,107,-7.6
Goga Bitadze,22:23,3,5,.600,0,0,,2,2,1.000,1,7,8,2,0,4,0,2,8,+21,22:23,.680,.600,.000,.400,5.8,33.4,20.9,11.7,0.0,13.4,0.0,10.5,155,99,8.1
Franz Wagner,22:21,6,14,.429,0,2,.000,7,7,1.000,1,6,7,1,2,0,0,2,19,+26,22:21,.556,.429,.143,.500,5.8,28.6,18.3,7.1,3.9,0.0,0.0,30.4,125,101,4.1
Jalen Suggs,17:35,6,8,.750,1,2,.500,5,6,.833,1,2,3,1,1,0,0,1,18,+20,17:35,.846,.813,.250,.750,7.4,12.1,10.0,10.3,2.5,0.0,0.0,24.1,176,108,15.6
Cole Anthony,24:53,5,12,.417,1,3,.333,4,4,1.000,0,5,5,3,0,1,4,4,15,+11,24:53,.545,.458,.250,.333,0.0,21.4,11.8,17.3,0.0,3.0,22.5,28.4,93,109,-6.5
Gary Harris,21:59,4,6,.667,3,3,1.000,2,2,1.000,0,0,0,2,2,0,0,1,13,+10,21:59,.945,.917,.500,.333,0.0,0.0,0.0,12.7,4.0,0.0,0.0,12.5,192,108,13.4
Moritz Wagner,20:32,6,10,.600,1,1,1.000,3,4,.750,3,0,3,2,0,0,1,3,16,+3,20:32,.680,.650,.100,.400,19.0,0.0,8.6,16.1,0.0,0.0,7.8,24.8,139,117,3.2
Joe Ingles,17:47,0,2,.000,0,2,.000,0,0,,0,4,4,6,3,0,2,1,0,+4,17:47,.000,.000,1.000,.000,0.0,24.0,13.2,37.7,7.4,0.0,50.0,9.0,66,95,3.1
Jonathan Isaac,13:35,2,5,.400,0,0,,1,2,.500,1,2,3,0,1,1,0,1,5,-1,13:35,.425,.400,.000,.400,9.6,15.7,12.9,0.0,3.2,5.5,0.0,17.2,100,102,-2.9
Caleb Houstan,8:26,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,2,1,0,-18,8:26,.000,.000,1.000,.000,0.0,0.0,0.0,26.5,0.0,0.0,66.7,14.2,34,117,-13.9
Chuma Okeke,7:45,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-15,7:45,.750,.750,.500,.000,0.0,13.8,7.6,0.0,0.0,0.0,0.0,10.3,148,113,2.6
Jett Howard,6:43,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,2,0,0,-11,6:43,.000,.000,1.000,.000,0.0,0.0,0.0,16.6,0.0,0.0,50.0,23.7,15,117,-25.0
Admiral Schofield,5:05,0,1,.000,0,1,.000,0,2,.000,0,0,0,0,0,0,1,1,0,-12,5:05,.000,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,22.6,0,116,-31.8
Team Totals,240,43,87,.494,7,20,.350,35,42,.833,8,34,42,21,10,10,15,23,128,,240,.607,.534,.230,.483,21.6,75.6,51.2,48.8,9.2,15.6,12.5,100.0,117.3,106.3,
