Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,43:54,15,28,.536,7,15,.467,8,10,.800,0,13,13,6,0,2,3,1,45,-5,43:54,.694,.661,.536,.357,0.0,29.1,14.9,30.3,0.0,3.7,8.5,34.9,134,110,17.6
Sam Hauser,37:26,1,9,.111,1,9,.111,0,0,,0,1,1,1,0,0,1,3,3,-22,37:26,.167,.167,1.000,.000,0.0,2.6,1.3,3.5,0.0,0.0,10.0,11.6,40,123,-14.9
Jrue Holiday,37:12,5,11,.455,1,3,.333,0,2,.000,3,3,6,5,1,2,7,1,11,-4,37:12,.463,.500,.273,.182,8.4,7.9,8.1,20.4,1.3,4.4,37.1,22.0,76,115,-5.5
Kristaps Porziņģis,34:25,5,14,.357,1,8,.125,6,10,.600,3,5,8,0,2,3,0,2,17,-26,34:25,.462,.393,.571,.714,9.1,14.3,11.7,0.0,2.9,7.1,0.0,23.2,107,107,0.7
Jaylen Brown,34:01,5,17,.294,0,5,.000,3,4,.750,1,3,4,3,0,0,2,5,13,-23,34:01,.346,.294,.294,.235,3.1,8.7,5.9,13.7,0.0,0.0,9.6,26.4,78,121,-14.2
Payton Pritchard,33:01,8,14,.571,5,8,.625,0,0,,2,4,6,3,2,0,0,1,21,+16,33:01,.750,.750,.571,.000,6.3,11.9,9.2,16.5,3.0,0.0,0.0,18.4,159,112,13.7
Luke Kornet,18:31,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,0,4,+25,18:31,1.000,1.000,.000,.000,0.0,15.9,8.2,0.0,0.0,4.4,0.0,4.7,200,115,0.1
Oshae Brissett,17:23,0,0,,0,0,,1,2,.500,2,5,7,1,0,0,0,2,1,+17,17:23,.568,,,,12.0,28.2,20.3,7.3,0.0,0.0,0.0,2.2,180,112,-2.2
Svi Mykhailiuk,9:04,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,+7,9:04,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,5.5,0.0,0.0,9.6,148,112,6.3
Dalano Banton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JD Davison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Neemias Queta,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lamar Stevens,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Walsh,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,42,97,.433,16,50,.320,18,28,.643,11,37,48,19,6,8,13,15,118,,265,.540,.515,.515,.289,21.6,68.5,45.7,45.2,5.6,12.3,10.6,100.0,110.9,113.7,
