Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bam Adebayo,30:27,8,14,.571,0,0,,7,9,.778,3,8,11,6,1,0,1,3,23,+7,30:27,.640,.571,.000,.643,12.4,30.8,21.9,32.2,1.8,0.0,5.3,29.7,144,108,9.1
Duncan Robinson,29:46,7,11,.636,6,9,.667,2,2,1.000,0,2,2,2,0,0,0,3,22,+7,29:46,.926,.909,.818,.182,0.0,7.9,4.1,10.5,0.0,0.0,0.0,19.0,176,117,10.2
Jimmy Butler,29:15,4,11,.364,0,2,.000,8,9,.889,0,3,3,6,1,0,1,2,16,+17,29:15,.535,.364,.182,.818,0.0,12.0,6.2,27.8,1.8,0.0,6.3,26.0,125,112,-1.3
Kyle Lowry,26:34,3,6,.500,2,4,.500,0,0,,1,4,5,6,0,0,1,1,8,+15,26:34,.667,.667,.667,.000,4.8,17.6,11.4,29.6,0.0,0.0,14.3,12.5,144,115,2.8
Haywood Highsmith,20:03,3,4,.750,1,1,1.000,0,0,,1,1,2,3,1,0,1,3,7,+1,20:03,.875,.875,.250,.000,6.3,5.8,6.1,20.6,2.7,0.0,20.0,11.9,151,111,4.6
Jaime Jaquez Jr.,32:42,8,13,.615,3,4,.750,0,0,,2,1,3,4,2,0,0,1,19,+24,32:42,.731,.731,.308,.000,7.7,3.6,5.6,19.4,3.3,0.0,0.0,18.9,157,110,9.9
Josh Richardson,29:45,4,12,.333,2,6,.333,0,0,,2,2,4,1,0,1,3,2,10,+11,29:45,.417,.417,.500,.000,8.5,7.9,8.2,4.5,0.0,3.7,20.0,24.0,78,114,-13.3
Caleb Martin,21:26,1,6,.167,0,3,.000,0,0,,0,4,4,2,1,0,0,1,2,+3,21:26,.167,.167,.500,.000,0.0,21.8,11.3,11.3,2.5,0.0,0.0,13.3,61,108,-10.5
Kevin Love,15:04,4,6,.667,3,5,.600,0,0,,0,8,8,1,0,0,1,2,11,+17,15:04,.917,.917,.833,.000,0.0,62.2,32.3,10.9,0.0,0.0,14.3,22.1,134,106,11.6
Orlando Robinson,2:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6,2:28,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-16.8
Dru Smith,2:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-6,2:28,.000,.000,1.000,.000,0.0,47.5,24.6,0.0,21.7,0.0,0.0,19.3,0,59,1.3
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,84,.500,17,35,.486,17,20,.850,9,34,43,31,7,1,8,19,118,,240,.636,.601,.417,.238,23.7,82.9,54.4,73.8,7.8,2.3,7.9,100.0,131.3,111.3,
