Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,30:40,4,8,.500,0,0,,2,3,.667,5,5,10,8,0,0,5,4,10,-36,30:40,.536,.500,.000,.375,14.5,21.2,17.2,46.8,0.0,0.0,34.9,20.3,98,132,-3.8
Harrison Barnes,29:58,4,9,.444,3,6,.500,5,6,.833,0,4,4,0,1,0,0,0,16,-23,29:58,.687,.611,.667,.667,0.0,17.3,7.0,0.0,1.6,0.0,0.0,16.9,133,130,2.7
De'Aaron Fox,28:44,5,18,.278,2,12,.167,2,4,.500,0,2,2,0,1,0,2,1,14,-32,28:44,.354,.333,.667,.222,0.0,9.0,3.7,0.0,1.7,0.0,9.2,32.9,62,131,-13.2
Kevin Huerter,22:32,4,10,.400,2,8,.250,0,0,,0,0,0,3,0,0,0,1,10,-25,22:32,.500,.500,.800,.000,0.0,0.0,0.0,26.1,0.0,0.0,0.0,19.3,104,137,-1.8
Keegan Murray,16:22,1,4,.250,1,2,.500,2,2,1.000,2,1,3,0,1,1,0,2,5,-20,16:22,.512,.375,.500,.500,10.9,7.9,9.7,0.0,3.0,4.6,0.0,12.9,120,125,-0.6
Malik Monk,24:24,3,11,.273,2,6,.333,0,0,,0,0,0,5,0,0,1,2,8,-16,24:24,.364,.364,.545,.000,0.0,0.0,0.0,36.3,0.0,0.0,8.3,21.4,81,137,-8.1
Davion Mitchell,19:16,0,2,.000,0,2,.000,2,2,1.000,0,0,0,8,0,0,1,1,2,-4,19:16,.347,.000,1.000,1.000,0.0,0.0,0.0,60.4,0.0,0.0,25.8,8.7,115,137,-2.0
Kessler Edwards,15:02,1,4,.250,1,4,.250,0,0,,0,4,4,0,0,1,0,2,3,-12,15:02,.375,.375,1.000,.000,0.0,34.5,14.0,0.0,0.0,5.0,0.0,11.6,72,126,-7.4
Colby Jones,13:43,4,8,.500,0,2,.000,0,1,.000,0,1,1,0,1,0,0,2,8,-1,13:43,.474,.500,.250,.125,0.0,9.5,3.8,0.0,3.5,0.0,0.0,26.7,87,127,-5.4
JaVale McGee,12:34,4,6,.667,0,0,,2,4,.500,2,5,7,1,0,2,3,3,10,-6,12:34,.644,.667,.000,.667,14.1,51.6,29.4,21.6,0.0,11.9,27.9,37.2,92,117,0.5
Jalen Slawson,12:00,2,3,.667,0,1,.000,0,0,,0,3,3,2,0,1,1,1,4,-5,12:00,.667,.667,.333,.000,0.0,32.4,13.2,32.0,0.0,6.3,25.0,14.5,103,125,1.8
Chris Duarte,8:18,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-3,8:18,.000,.000,1.000,.000,0.0,31.3,12.7,0.0,0.0,0.0,0.0,10.5,0,130,-19.3
Filip Petrušev,6:26,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,+3,6:26,.521,.500,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,103,137,-9.4
Sasha Vezenkov,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,33,87,.379,11,45,.244,16,24,.667,9,27,36,27,4,5,13,21,93,,240,.477,.443,.517,.276,16.7,73.0,39.6,81.8,4.0,7.8,11.8,100.0,93.8,130.2,
