Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,37:14,13,21,.619,2,2,1.000,3,3,1.000,0,4,4,9,0,1,3,4,31,+20,37:14,.694,.667,.095,.143,0.0,13.2,7.6,44.2,0.0,2.3,11.8,32.2,140,125,6.3
Eric Gordon,36:03,4,5,.800,2,3,.667,0,0,,0,2,2,4,1,1,2,2,10,+13,36:03,1.000,1.000,.600,.000,0.0,6.8,3.9,14.1,1.5,2.4,28.6,9.2,141,124,2.5
Grayson Allen,35:05,4,5,.800,0,1,.000,0,0,,0,6,6,5,2,0,1,1,8,+6,35:05,.800,.800,.200,.000,0.0,21.0,12.1,18.2,3.1,0.0,16.7,8.1,150,116,2.9
Devin Booker,33:26,9,20,.450,0,3,.000,10,10,1.000,0,3,3,6,1,1,1,1,28,+18,33:26,.574,.450,.150,.500,0.0,11.0,6.3,28.6,1.6,2.6,3.9,36.0,137,122,1.6
Jusuf Nurkić,29:13,7,11,.636,2,4,.500,2,2,1.000,6,6,12,0,1,4,3,4,18,+17,29:13,.758,.727,.364,.182,34.0,25.3,29.0,0.0,1.8,11.7,20.2,24.1,134,110,2.7
Nassir Little,22:10,4,6,.667,1,3,.333,4,4,1.000,2,3,5,0,1,1,0,1,13,+2,22:10,.838,.750,.500,.667,14.9,16.7,15.9,0.0,2.4,3.9,0.0,16.6,187,117,8.4
Drew Eubanks,13:03,1,4,.250,0,0,,5,5,1.000,2,0,2,0,0,0,2,4,7,-3,13:03,.565,.250,.000,1.250,25.4,0.0,10.8,0.0,0.0,0.0,24.4,29.8,110,131,-21.4
Josh Okogie,13:01,0,0,,0,0,,2,2,1.000,1,2,3,1,1,0,1,0,2,+9,13:01,1.136,,,,12.7,18.9,16.3,8.6,4.1,0.0,53.2,6.8,137,115,3.5
Keita Bates-Diop,10:05,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-7,10:05,.266,.000,.000,2.000,0.0,12.2,7.0,0.0,0.0,0.0,0.0,8.8,69,127,-11.8
Chimezie Metu,5:44,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,-1,5:44,,,,,0.0,0.0,0.0,19.5,9.4,0.0,,0.0,216,110,8.0
Jordan Goodwin,4:54,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-9,4:54,.333,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,81,131,-22.7
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,76,.566,7,17,.412,27,28,.964,11,27,38,26,8,8,13,18,120,,240,.679,.612,.224,.368,37.9,69.2,55.9,60.5,9.0,14.3,12.8,100.0,134.3,119.8,
