Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Collins,24:59,6,12,.500,2,5,.400,1,2,.500,2,2,4,1,1,1,1,3,15,-29,24:59,.582,.583,.417,.167,6.9,10.1,8.2,7.3,1.9,3.4,7.2,22.4,111,126,1.6
Jordan Clarkson,24:12,3,9,.333,0,3,.000,1,1,1.000,0,0,0,2,1,0,2,1,7,-24,24:12,.371,.333,.333,.111,0.0,0.0,0.0,12.4,1.9,0.0,17.5,19.1,70,130,-11.4
Lauri Markkanen,22:33,4,10,.400,2,7,.286,0,0,,1,7,8,0,1,0,0,2,10,-9,22:33,.500,.500,.700,.000,3.8,39.2,18.1,0.0,2.1,0.0,0.0,17.9,103,124,-1.6
Keyonte George,21:20,3,11,.273,1,5,.200,2,2,1.000,1,2,3,2,1,0,2,2,9,-21,21:20,.379,.318,.455,.182,4.0,11.8,7.2,14.4,2.2,0.0,14.4,26.2,77,128,-9.0
Ochai Agbaji,17:14,0,5,.000,0,3,.000,0,0,,1,2,3,0,0,0,1,2,0,-16,17:14,.000,.000,.600,.000,5.0,14.7,8.9,0.0,0.0,0.0,16.7,14.0,11,132,-22.0
Simone Fontecchio,27:08,4,6,.667,3,5,.600,0,0,,2,2,4,0,0,1,1,3,11,-6,27:08,.917,.917,.833,.000,6.3,9.3,7.5,0.0,0.0,3.1,14.3,10.4,143,131,0.9
Kelly Olynyk,24:22,1,6,.167,0,4,.000,2,4,.500,2,3,5,5,0,0,2,3,4,-17,24:22,.258,.167,.667,.667,7.0,15.6,10.5,27.3,0.0,0.0,20.5,16.2,74,132,-11.0
Talen Horton-Tucker,23:15,1,10,.100,0,5,.000,4,4,1.000,0,3,3,7,2,1,1,1,6,-16,23:15,.255,.100,.500,.400,0.0,16.3,6.6,40.2,4.0,3.6,7.8,22.1,78,120,-1.5
Collin Sexton,21:39,6,11,.545,2,3,.667,0,0,,0,3,3,4,0,0,1,2,14,-9,21:39,.636,.636,.273,.000,0.0,17.5,7.1,35.9,0.0,0.0,8.3,22.3,121,132,3.2
Omer Yurtseven,16:45,8,11,.727,0,1,.000,2,3,.667,4,2,6,1,0,0,0,1,18,-9,16:45,.731,.727,.091,.273,20.5,15.1,18.3,19.0,0.0,0.0,0.0,29.7,152,132,14.6
Luka Šamanić,8:49,0,3,.000,0,2,.000,0,0,,0,3,3,1,0,0,1,1,0,-5,8:49,.000,.000,.667,.000,0.0,43.0,17.4,14.3,0.0,0.0,25.0,18.3,14,128,-20.3
Kris Dunn,7:44,2,4,.500,1,1,1.000,0,0,,0,0,0,2,0,0,2,1,5,+1,7:44,.625,.625,.250,.000,0.0,0.0,0.0,48.5,0.0,0.0,33.3,31.3,88,135,-4.8
Team Totals,240,38,98,.388,11,44,.250,12,16,.750,13,29,42,25,6,3,14,22,99,,240,.471,.444,.449,.163,23.2,76.3,44.7,65.8,5.9,5.3,11.8,100.0,97.1,128.5,
