Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,40:00,3,7,.429,1,2,.500,0,0,,0,6,6,3,2,1,5,3,7,-15,40:00,.500,.500,.286,.000,0.0,13.7,6.8,8.5,2.3,1.7,41.7,11.1,69,124,-8.6
Trae Young,39:58,12,31,.387,8,16,.500,11,13,.846,2,2,4,9,2,0,4,0,43,-11,39:58,.586,.516,.516,.419,4.5,4.6,4.5,34.0,2.3,0.0,9.8,37.8,130,129,9.6
Dejounte Murray,39:20,6,21,.286,3,8,.375,5,5,1.000,3,3,6,8,2,0,1,4,20,0,39:20,.431,.357,.381,.238,6.9,7.0,6.9,25.1,2.3,0.0,4.1,22.8,121,128,-2.0
De'Andre Hunter,39:04,8,16,.500,2,7,.286,7,7,1.000,3,8,11,0,1,2,1,3,25,-3,39:04,.655,.563,.438,.438,6.9,18.7,12.8,0.0,1.2,3.5,5.0,19.1,144,123,2.2
Clint Capela,27:25,7,8,.875,0,0,,0,0,,9,6,15,0,0,3,0,1,14,-13,27:25,.875,.875,.000,.000,29.5,20.0,24.8,0.0,0.0,7.4,0.0,10.8,195,123,7.0
Bogdan Bogdanović,25:35,5,15,.333,3,11,.273,1,1,1.000,1,3,4,3,1,1,1,4,14,+17,25:35,.453,.433,.733,.067,3.5,10.7,7.1,15.3,1.8,2.7,6.1,23.9,111,126,-3.6
Onyeka Okongwu,25:24,6,10,.600,0,2,.000,0,0,,4,6,10,0,0,1,0,1,12,+16,25:24,.600,.600,.200,.000,14.1,21.6,17.8,0.0,0.0,2.7,0.0,14.6,144,125,-2.1
Saddiq Bey,24:54,4,8,.500,1,3,.333,3,3,1.000,0,2,2,1,2,0,2,2,12,+9,24:54,.644,.563,.375,.375,0.0,7.3,3.6,5.0,3.7,0.0,17.7,16.9,116,124,-2.4
AJ Griffin,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+10,3:16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,-7.7
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trent Forrest,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wesley Matthews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,51,116,.440,18,49,.367,27,29,.931,22,36,58,24,10,8,14,18,147,,265,.571,.517,.422,.250,37.3,62.1,49.6,47.1,8.7,10.3,9.8,100.0,127.4,125.7,
