Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Taurean Prince,36:52,6,10,.600,2,5,.400,0,0,,1,5,6,2,0,0,1,3,14,+15,36:52,.700,.700,.500,.000,2.8,12.3,7.9,8.3,0.0,0.0,9.1,13.9,127,114,1.0
Anthony Davis,36:21,4,10,.400,0,0,,2,2,1.000,2,11,13,4,1,1,3,3,10,0,36:21,.460,.400,.000,.200,5.7,27.4,17.3,15.7,1.4,2.9,21.6,17.7,91,103,-1.8
LeBron James,36:01,9,19,.474,4,9,.444,4,7,.571,2,7,9,7,0,0,3,0,26,+7,36:01,.589,.579,.474,.368,5.8,17.6,12.1,34.5,0.0,0.0,12.0,32.3,114,112,8.8
D'Angelo Russell,24:24,5,11,.455,2,4,.500,3,3,1.000,0,3,3,5,0,1,1,1,15,+1,24:24,.609,.545,.364,.273,0.0,11.1,6.0,33.7,0.0,4.3,7.5,25.4,125,112,8.3
Max Christie,23:12,3,7,.429,1,4,.250,0,0,,0,2,2,0,0,0,0,0,7,-19,23:12,.500,.500,.571,.000,0.0,7.8,4.2,0.0,0.0,0.0,0.0,14.0,97,116,-4.0
Austin Reaves,31:25,7,14,.500,1,5,.200,2,3,.667,1,5,6,6,0,0,2,5,17,-3,31:25,.555,.536,.357,.214,3.3,14.4,9.3,32.4,0.0,0.0,11.5,25.6,112,113,0.1
Rui Hachimura,25:48,4,11,.364,1,2,.500,0,0,,2,1,3,1,0,0,1,3,9,-8,25:48,.409,.409,.182,.000,8.1,3.5,5.6,5.9,0.0,0.0,8.3,21.6,87,117,-8.9
Christian Wood,14:42,0,1,.000,0,0,,1,2,.500,0,5,5,1,0,0,0,1,1,-15,14:42,.266,.000,.000,2.000,0.0,30.8,16.5,8.4,0.0,0.0,0.0,5.9,84,107,-3.3
Jaxson Hayes,11:14,1,1,1.000,0,0,,0,2,.000,1,3,4,0,0,0,0,1,2,+7,11:14,.532,1.000,.000,2.000,9.3,24.2,17.3,0.0,0.0,0.0,0.0,7.8,111,110,-4.0
Alex Fudge,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Hood-Schifino,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxwell Lewis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,84,.464,11,29,.379,12,19,.632,9,42,51,26,1,2,11,17,101,,240,.547,.530,.345,.226,19.6,79.2,51.5,66.7,1.1,4.3,10.6,100.0,108.2,111.4,
