Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Lowry,29:06,9,15,.600,7,10,.700,3,4,.750,0,1,1,3,0,0,0,3,28,+21,29:06,.835,.833,.667,.267,0.0,4.3,2.2,15.9,0.0,0.0,0.0,25.8,169,113,11.7
Jimmy Butler,27:48,3,12,.250,1,5,.200,3,4,.750,1,3,4,9,2,2,1,0,10,+23,27:48,.363,.292,.417,.333,4.7,13.6,9.2,38.1,3.7,7.3,6.8,23.8,114,97,3.6
Haywood Highsmith,24:41,4,6,.667,2,3,.667,0,0,,1,5,6,5,1,2,0,4,10,+18,24:41,.833,.833,.500,.000,5.3,25.6,15.6,25.4,2.1,8.3,0.0,10.9,189,97,13.8
Duncan Robinson,24:15,3,7,.429,1,3,.333,0,0,,0,2,2,3,0,0,0,3,7,+32,24:15,.500,.500,.429,.000,0.0,10.4,5.3,14.8,0.0,0.0,0.0,12.9,126,111,-7.2
Thomas Bryant,23:41,4,8,.500,0,0,,2,2,1.000,1,6,7,1,1,1,0,3,10,+13,23:41,.563,.500,.000,.250,5.5,32.0,18.9,5.3,2.2,4.3,0.0,16.8,131,99,-2.4
Jaime Jaquez Jr.,28:02,7,10,.700,4,4,1.000,4,5,.800,2,6,8,1,1,0,6,1,22,+16,28:02,.902,.900,.400,.500,9.3,27.0,18.3,5.0,1.8,0.0,33.0,29.1,112,104,2.5
Orlando Robinson,27:32,6,9,.667,1,1,1.000,1,2,.500,4,5,9,2,1,2,2,4,14,+22,27:32,.709,.722,.111,.222,18.8,22.9,20.9,9.8,1.9,7.4,16.8,19.3,134,99,2.1
Josh Richardson,27:09,5,9,.556,2,4,.500,2,2,1.000,1,0,1,5,2,0,0,0,14,+13,27:09,.709,.667,.444,.222,4.8,0.0,2.4,23.8,3.8,0.0,0.0,16.3,167,105,9.9
Caleb Martin,26:24,5,12,.417,2,5,.400,2,2,1.000,0,3,3,1,3,0,1,0,14,+12,26:24,.543,.500,.417,.167,0.0,14.4,7.3,4.9,5.8,0.0,7.2,23.5,108,97,-0.6
Dru Smith,1:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5,1:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-22.5
Bam Adebayo,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,46,88,.523,20,35,.571,17,21,.810,10,31,41,30,11,7,10,19,129,,240,.663,.636,.398,.239,27.0,81.6,54.7,65.2,11.7,14.9,9.3,100.0,137.4,102.3,
