Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Victor Wembanyama,35:09,8,18,.444,1,6,.167,5,5,1.000,2,7,9,4,1,2,6,2,22,+2,35:09,.545,.472,.333,.278,5.6,25.2,14.1,16.0,1.3,7.0,22.9,28.8,96,108,-1.7
Keldon Johnson,34:04,8,13,.615,3,7,.429,3,5,.600,4,8,12,4,2,0,3,3,22,+5,34:04,.724,.731,.538,.385,11.5,29.7,19.4,16.7,2.7,0.0,16.5,20.6,130,108,8.0
Jeremy Sochan,32:58,3,7,.429,1,2,.500,0,0,,3,3,6,4,0,0,2,2,7,+1,32:58,.500,.500,.286,.000,8.9,11.5,10.0,14.3,0.0,0.0,22.2,10.5,107,117,-4.3
Zach Collins,30:30,2,12,.167,0,7,.000,2,2,1.000,3,5,8,6,0,0,3,3,6,-7,30:30,.233,.167,.583,.167,9.6,20.7,14.5,22.6,0.0,0.0,18.9,20.1,73,116,-11.3
Malaki Branham,18:50,3,9,.333,0,5,.000,0,0,,0,0,0,1,1,0,1,2,6,-8,18:50,.333,.333,.556,.000,0.0,0.0,0.0,6.8,2.4,0.0,10.0,20.5,71,113,-12.6
Devin Vassell,27:21,10,19,.526,4,10,.400,0,0,,1,3,4,1,1,0,2,2,24,-9,27:21,.632,.632,.526,.000,3.6,13.9,8.1,6.4,1.7,0.0,9.5,29.7,114,113,4.2
Doug McDermott,19:16,3,6,.500,1,3,.333,0,0,,1,0,1,4,3,0,0,0,7,-1,19:16,.583,.583,.500,.000,5.1,0.0,2.9,26.6,7.0,0.0,0.0,12.0,147,103,11.6
Cedi Osman,17:52,5,11,.455,1,6,.167,0,0,,1,0,1,0,0,0,1,3,11,-3,17:52,.500,.500,.545,.000,5.5,0.0,3.1,0.0,0.0,0.0,8.3,25.9,97,119,-9.4
Tre Jones,16:57,3,5,.600,1,1,1.000,0,0,,0,5,5,2,2,0,1,1,7,-10,16:57,.700,.700,.200,.000,0.0,37.3,16.3,15.5,5.3,0.0,16.7,13.7,123,101,5.0
Charles Bassey,7:03,0,0,,0,0,,0,0,,0,0,0,2,0,1,0,0,0,0,7:03,,,,,0.0,0.0,0.0,30.3,0.0,17.5,,0.0,227,109,8.3
Julian Champagnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Devonte' Graham,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sandro Mamukelashvili,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,100,.450,12,47,.255,10,12,.833,15,31,46,28,10,3,19,18,112,,240,.532,.510,.470,.120,30.6,81.6,52.9,62.2,9.4,7.7,15.3,100.0,105.5,111.2,
