Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Spencer Dinwiddie,36:24,4,9,.444,2,7,.286,4,4,1.000,0,2,2,11,2,0,3,2,14,+17,36:24,.651,.556,.778,.444,0.0,5.6,3.1,43.0,2.9,0.0,21.8,18.3,130,109,1.9
Cameron Johnson,35:13,8,13,.615,2,6,.333,1,2,.500,1,9,10,5,2,0,1,2,19,+29,35:13,.684,.692,.462,.154,3.5,26.1,15.8,24.3,3.0,0.0,6.7,20.5,137,101,5.4
Dorian Finney-Smith,34:28,7,9,.778,2,4,.500,0,0,,2,3,5,3,0,1,0,0,16,+23,34:28,.889,.889,.444,.000,7.1,8.9,8.1,14.3,0.0,2.6,0.0,12.6,183,113,6.9
Mikal Bridges,32:57,8,19,.421,3,6,.500,5,5,1.000,1,5,6,3,2,1,3,2,24,+16,32:57,.566,.500,.316,.263,3.7,15.5,10.2,16.0,3.2,2.7,12.4,35.6,106,103,-1.3
Nic Claxton,24:04,5,7,.714,0,0,,3,4,.750,2,4,6,0,2,3,0,1,13,+3,24:04,.742,.714,.000,.571,10.2,17.0,13.9,0.0,4.3,11.3,0.0,17.6,157,95,7.0
Royce O'Neale,28:57,2,6,.333,2,5,.400,0,0,,1,1,2,4,2,1,1,4,6,+9,28:57,.500,.500,.833,.000,4.3,3.5,3.9,18.6,3.6,3.1,14.3,11.7,114,106,-0.8
Lonnie Walker IV,13:42,2,6,.333,2,5,.400,2,2,1.000,0,1,1,0,0,0,2,1,8,-5,13:42,.581,.500,.833,.333,0.0,7.5,4.1,0.0,0.0,0.0,22.5,31.4,86,115,-13.5
Trendon Watford,12:52,3,5,.600,1,1,1.000,0,0,,0,2,2,0,1,0,1,4,7,-6,12:52,.700,.700,.200,.000,0.0,15.9,8.7,0.0,4.0,0.0,16.7,22.6,99,102,-7.1
Day'Ron Sharpe,11:44,0,1,.000,0,0,,4,4,1.000,0,4,4,1,0,2,0,2,4,+4,11:44,.725,.000,.000,4.000,0.0,34.8,19.0,10.5,0.0,15.4,0.0,11.4,172,95,4.3
Armoni Brooks,4:26,0,3,.000,0,2,.000,0,0,,1,2,3,0,0,0,0,0,0,-3,4:26,.000,.000,.667,.000,27.8,46.1,37.8,0.0,0.0,0.0,0.0,32.8,33,100,-35.0
Dariq Whitehead,2:35,0,0,,0,0,,1,2,.500,0,0,0,0,0,1,0,0,1,-6,2:35,,,,,0.0,39.5,21.6,0.0,0.0,0.0,,0.0,0,103,-6.2
Noah Clowney,2:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6,2:35,.568,,,,0.0,0.0,0.0,0.0,0.0,35.1,0.0,16.5,123,97,11.2
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,78,.500,14,36,.389,20,23,.870,8,34,42,27,11,9,11,18,112,,240,.635,.590,.462,.295,20.5,72.3,48.8,69.2,11.9,17.0,11.1,100.0,121.5,105.2,
