Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Hawkins,39:56,8,17,.471,5,12,.417,4,5,.800,1,5,6,3,1,0,4,1,25,+4,39:56,.651,.618,.706,.294,2.4,14.0,7.7,12.3,1.2,0.0,17.2,24.5,107,111,0.1
Brandon Ingram,36:59,10,22,.455,1,4,.250,5,8,.625,1,5,6,8,1,0,1,4,26,+3,36:59,.509,.477,.182,.364,2.5,15.1,8.3,39.9,1.3,0.0,3.8,30.2,114,110,2.2
Dyson Daniels,33:43,3,14,.214,0,6,.000,0,1,.000,1,5,6,5,6,1,5,1,6,-18,33:43,.208,.214,.429,.071,2.8,16.6,9.1,20.5,8.6,3.2,25.7,24.3,49,92,-8.1
Jonas Valančiūnas,26:29,3,10,.300,0,2,.000,2,4,.500,5,2,7,2,1,0,1,2,8,-17,26:29,.340,.300,.200,.400,17.8,8.4,13.5,10.8,1.8,0.0,7.8,20.3,90,112,-10.4
Herbert Jones,25:58,6,11,.545,1,4,.250,0,0,,1,0,1,1,1,1,1,3,13,-18,25:58,.591,.591,.364,.000,3.6,0.0,2.0,6.6,1.9,4.2,8.3,19.5,107,113,-3.0
Jose Alvarado,22:51,5,11,.455,3,6,.500,0,0,,1,3,4,3,2,1,0,4,13,+11,22:51,.591,.591,.545,.000,4.1,14.7,8.9,22.1,4.2,4.8,0.0,20.3,126,102,7.9
Cody Zeller,21:26,2,2,1.000,0,0,,0,0,,2,4,6,5,0,1,0,0,4,+14,21:26,1.000,1.000,.000,.000,8.8,20.8,14.3,32.4,0.0,5.1,0.0,3.9,215,109,8.2
Naji Marshall,20:41,2,6,.333,1,2,.500,0,0,,0,3,3,4,0,0,0,1,5,-2,20:41,.417,.417,.333,.000,0.0,16.2,7.4,27.0,0.0,0.0,0.0,12.2,111,113,-3.9
Larry Nance Jr.,11:55,0,0,,0,0,,0,0,,1,2,3,0,3,0,1,1,0,-2,11:55,,,,,7.9,18.7,12.9,0.0,12.2,0.0,100.0,3.5,46,84,-1.7
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremiah Robinson-Earl,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Zion Williamson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,39,93,.419,11,36,.306,11,18,.611,13,29,42,31,15,4,13,17,100,,240,.495,.478,.387,.194,25.5,67.4,44.7,79.5,15.1,9.1,11.4,100.0,100.9,106.0,
