Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Spencer Dinwiddie,38:22,7,17,.412,3,9,.333,7,8,.875,2,3,5,7,1,0,2,4,24,+9,38:22,.585,.500,.529,.471,6.6,9.2,7.9,27.2,1.4,0.0,8.9,28.6,131,123,-2.5
Royce O'Neale,35:57,7,11,.636,6,10,.600,0,0,,0,9,9,4,1,0,1,2,20,+11,35:57,.909,.909,.909,.000,0.0,29.3,15.2,16.9,1.5,0.0,8.3,16.2,161,118,9.1
Mikal Bridges,35:44,5,7,.714,4,6,.667,1,2,.500,0,2,2,6,0,0,2,0,15,-7,35:44,.952,1.000,.857,.286,0.0,6.6,3.4,23.5,0.0,0.0,20.2,13.5,155,127,3.2
Dorian Finney-Smith,34:26,3,10,.300,3,7,.429,0,0,,0,4,4,1,2,1,1,3,9,-17,34:26,.450,.450,.700,.000,0.0,13.6,7.1,3.8,3.1,2.7,9.1,15.6,86,116,-6.9
Cameron Johnson,22:04,4,8,.500,2,5,.400,0,0,,2,2,4,6,0,0,0,2,10,-1,22:04,.625,.625,.625,.000,11.4,10.6,11.0,40.4,0.0,0.0,0.0,17.6,164,126,5.8
Day'Ron Sharpe,26:48,4,7,.571,0,2,.000,1,2,.500,3,6,9,3,0,1,1,4,9,+31,26:48,.571,.571,.286,.286,14.1,26.2,20.4,15.9,0.0,3.5,11.3,16.1,134,119,-4.3
Lonnie Walker IV,25:00,6,13,.462,6,10,.600,2,2,1.000,0,1,1,0,2,0,2,1,20,+23,25:00,.720,.692,.769,.154,0.0,4.7,2.4,0.0,4.3,0.0,12.6,30.9,112,118,3.3
Trendon Watford,17:09,5,8,.625,1,2,.500,0,1,.000,1,3,4,2,1,0,0,2,11,-2,17:09,.652,.688,.250,.125,7.4,20.5,14.2,20.7,3.1,0.0,0.0,24.0,141,116,4.2
Armoni Brooks,4:29,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-2,4:29,.000,.000,1.000,.000,0.0,26.1,13.6,0.0,0.0,0.0,0.0,21.7,0,121,-36.0
Nic Claxton,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Noah Clowney,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Wilson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,83,.494,25,53,.472,11,15,.733,8,31,39,29,7,2,9,19,118,,240,.658,.645,.639,.181,21.1,75.6,49.4,70.7,7.8,3.9,9.1,100.0,131.0,121.0,
