Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jerami Grant,39:24,7,18,.389,3,6,.500,5,6,.833,1,1,2,2,4,0,4,3,22,-8,39:24,.533,.472,.333,.333,2.7,2.6,2.6,8.6,4.9,0.0,16.2,25.7,97,112,-0.3
Shaedon Sharpe,36:54,7,19,.368,1,5,.200,2,3,.667,1,5,6,3,2,0,3,0,17,-19,36:54,.418,.395,.263,.158,2.9,13.8,8.5,14.0,2.6,0.0,12.9,26.0,84,111,-4.6
Malcolm Brogdon,33:42,7,23,.304,2,6,.333,2,3,.667,2,6,8,12,2,1,2,4,18,-6,33:42,.370,.348,.261,.130,6.3,18.2,12.4,63.2,2.9,3.0,7.6,32.1,99,107,4.5
Deandre Ayton,32:12,5,6,.833,0,0,,4,6,.667,4,9,13,2,1,2,0,3,14,-13,32:12,.810,.833,.000,1.000,13.3,28.5,21.1,10.1,1.5,6.3,0.0,11.0,178,103,7.9
Toumani Camara,16:54,2,3,.667,2,2,1.000,0,0,,2,1,3,0,0,0,2,4,6,-3,16:54,1.000,1.000,.667,.000,12.6,6.0,9.3,0.0,0.0,0.0,40.0,12.2,109,121,-5.1
Scoot Henderson,27:11,5,10,.500,3,4,.750,0,0,,1,3,4,1,0,0,2,5,13,+2,27:11,.650,.650,.400,.000,3.9,11.3,7.7,6.3,0.0,0.0,16.7,18.1,109,118,-5.0
Matisse Thybulle,25:43,1,4,.250,1,4,.250,2,2,1.000,0,1,1,1,4,1,2,1,5,+4,25:43,.512,.375,1.000,.500,0.0,4.0,2.0,5.3,7.5,4.0,29.1,11.0,81,103,2.4
Jabari Walker,15:48,2,3,.667,0,1,.000,0,0,,0,3,3,0,0,0,1,4,4,+6,15:48,.667,.667,.333,.000,0.0,19.4,9.9,0.0,0.0,0.0,25.0,10.4,91,113,-10.6
Duop Reath,12:12,1,5,.200,1,4,.250,0,0,,0,0,0,0,2,0,1,2,3,+7,12:12,.300,.300,.800,.000,0.0,0.0,0.0,0.0,7.9,0.0,16.7,20.2,53,106,-9.8
Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Minaya,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kris Murray,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,91,.407,13,32,.406,15,20,.750,11,29,40,21,15,4,17,26,102,,240,.511,.478,.352,.220,24.4,61.7,43.5,56.8,15.1,8.5,14.6,100.0,102.7,108.8,
