Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,34:12,17,29,.586,0,0,,5,5,1.000,5,6,11,9,1,0,5,3,39,+14,34:12,.625,.586,.000,.172,19.5,19.1,19.3,48.3,1.3,0.0,13.8,42.7,125,114,6.2
Michael Porter Jr.,32:52,8,14,.571,4,9,.444,5,6,.833,1,6,7,2,0,1,3,0,25,+15,32:52,.751,.714,.643,.429,4.1,19.9,12.8,7.6,0.0,2.6,15.3,24.1,128,115,3.0
Kentavious Caldwell-Pope,31:28,5,7,.714,2,4,.500,4,4,1.000,0,1,1,6,1,0,3,3,16,+6,31:28,.913,.857,.571,.571,0.0,3.5,1.9,21.6,1.4,0.0,25.5,15.1,142,118,2.8
Reggie Jackson,28:15,7,10,.700,3,3,1.000,3,3,1.000,2,5,7,6,1,0,4,5,20,+15,28:15,.883,.850,.300,.300,9.4,19.3,14.9,26.8,1.6,0.0,26.1,21.9,136,114,5.2
Justin Holiday,27:27,2,5,.400,1,4,.250,0,0,,0,2,2,3,1,0,0,2,5,+15,27:27,.500,.500,.800,.000,0.0,7.9,4.4,11.3,1.7,0.0,0.0,7.3,131,116,-3.5
Christian Braun,24:34,1,5,.200,0,1,.000,3,4,.750,1,3,4,4,0,0,0,1,5,0,24:34,.370,.200,.200,.800,5.4,13.3,9.8,16.3,0.0,0.0,0.0,11.1,122,119,-4.8
Peyton Watson,21:36,2,6,.333,0,2,.000,0,0,,1,3,4,2,1,2,1,1,4,+5,21:36,.333,.333,.333,.000,6.2,15.2,11.1,9.8,2.1,7.9,14.3,13.1,86,108,-3.8
Julian Strawther,18:45,4,8,.500,2,4,.500,0,0,,0,1,1,4,3,0,1,4,10,+7,18:45,.625,.625,.500,.000,0.0,5.8,3.2,25.8,7.3,0.0,11.1,19.4,127,104,6.6
DeAndre Jordan,12:17,3,3,1.000,0,0,,0,3,.000,1,5,6,1,0,0,1,3,6,+2,12:17,.694,1.000,.000,1.000,10.9,44.4,29.3,10.2,0.0,0.0,18.8,17.5,104,111,-4.1
Jay Huff,1:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4,1:31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-8.9
Collin Gillespie,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,1:31,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,200,122,14.5
Braxton Key,1:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-4,1:31,.000,.000,1.000,.000,0.0,71.9,39.6,63.3,0.0,0.0,0.0,26.6,69,104,-6.7
Jalen Pickett,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-4,1:31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.6,0,122,-48.8
Hunter Tyson,1:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1,1:23,,,,,0.0,78.9,43.4,0.0,0.0,0.0,,0.0,0,102,-1.7
Zeke Nnaji,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2,1:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-37.1
Team Totals,240,50,89,.562,12,28,.429,20,25,.800,11,34,45,38,8,3,19,25,132,,240,.660,.629,.315,.281,30.6,77.3,56.3,76.0,7.6,5.4,16.0,100.0,125.0,113.6,
